cpd,dose,landmark_genes,moa,MAS,TAS
17-hydroxyprogesterone-caproate,6,205039_s_at,Progesterone receptor agonist,0.7096769021439043,0.1851197046186552
17-hydroxyprogesterone-caproate,6,207515_s_at,Progesterone receptor agonist,0.7096769021439043,0.1851197046186552
17-hydroxyprogesterone-caproate,6,208763_s_at,Progesterone receptor agonist,0.7096769021439043,0.1851197046186552
17-hydroxyprogesterone-caproate,6,201761_at,Progesterone receptor agonist,0.7096769021439043,0.1851197046186552
17-hydroxyprogesterone-caproate,6,201000_at,Progesterone receptor agonist,0.7096769021439043,0.1851197046186552
17-hydroxyprogesterone-caproate,6,201849_at,Progesterone receptor agonist,0.7096769021439043,0.1851197046186552
17-hydroxyprogesterone-caproate,6,202847_at,Progesterone receptor agonist,0.7096769021439043,0.1851197046186552
17-hydroxyprogesterone-caproate,6,211729_x_at,Progesterone receptor agonist,0.7096769021439043,0.1851197046186552
17-hydroxyprogesterone-caproate,6,201397_at,Progesterone receptor agonist,0.7096769021439043,0.1851197046186552
17-hydroxyprogesterone-caproate,6,209161_at,Progesterone receptor agonist,0.7096769021439043,0.1851197046186552
17-hydroxyprogesterone-caproate,6,204549_at,Progesterone receptor agonist,0.7096769021439043,0.1851197046186552
17-hydroxyprogesterone-caproate,6,202889_x_at,Progesterone receptor agonist,0.7096769021439043,0.1851197046186552
17-hydroxyprogesterone-caproate,6,217168_s_at,Progesterone receptor agonist,0.7096769021439043,0.1851197046186552
17-hydroxyprogesterone-caproate,6,217995_at,Progesterone receptor agonist,0.7096769021439043,0.1851197046186552
AZ-628,5,204748_at,RAF inhibitor,0.7106527836427675,0.11445171800253046
AZ-628,5,200791_s_at,RAF inhibitor,0.7106527836427675,0.11445171800253046
AZ-628,5,202006_at,RAF inhibitor,0.7106527836427675,0.11445171800253046
AZ-628,5,202368_s_at,RAF inhibitor,0.7106527836427675,0.11445171800253046
AZ-628,5,202388_at,RAF inhibitor,0.7106527836427675,0.11445171800253046
AZ-628,5,218093_s_at,RAF inhibitor,0.7106527836427675,0.11445171800253046
AZ-628,6,201841_s_at,RAF inhibitor,0.7262624211136426,0.2087273168947156
AZ-628,6,204748_at,RAF inhibitor,0.7262624211136426,0.2087273168947156
AZ-628,6,203665_at,RAF inhibitor,0.7262624211136426,0.2087273168947156
AZ-628,6,204420_at,RAF inhibitor,0.7262624211136426,0.2087273168947156
AZ-628,6,208687_x_at,RAF inhibitor,0.7262624211136426,0.2087273168947156
AZ-628,6,208891_at,RAF inhibitor,0.7262624211136426,0.2087273168947156
AZ-628,6,210986_s_at,RAF inhibitor,0.7262624211136426,0.2087273168947156
AZ-628,6,215116_s_at,RAF inhibitor,0.7262624211136426,0.2087273168947156
AZ-628,6,208398_s_at,RAF inhibitor,0.7262624211136426,0.2087273168947156
AZ-628,6,203919_at,RAF inhibitor,0.7262624211136426,0.2087273168947156
