cluster,davies_bouldin_score,dose
2,4.233581731405707,1
3,3.660610654135595,1
4,4.6984250846548745,1
5,4.018909222696105,1
6,4.237165183563426,1
7,4.474071525093221,1
8,3.267807976305696,1
9,4.460689266238024,1
10,4.670025161621483,1
11,4.259396228140884,1
12,4.554647146345086,1
13,4.056943263665998,1
14,3.7731087718919665,1
15,4.011929680386911,1
16,3.157806098062906,1
17,2.6233528783353393,1
18,3.486740169558053,1
19,3.3661977776370122,1
20,3.635911065056444,1
21,4.00727205549094,1
22,3.714954042219244,1
23,3.449069823596114,1
24,3.8835119569758647,1
25,3.430953860331958,1
26,3.624236283370175,1
27,2.988293489415511,1
28,3.3600195072781895,1
29,2.9869363622805007,1
30,2.8985144031511454,1
31,3.3583735254667997,1
32,3.1765711963502774,1
33,3.1475267144776784,1
34,3.1817304020753667,1
35,2.382505630288866,1
36,2.7716773859071897,1
37,3.107618481994043,1
38,2.9851734413229716,1
39,2.8986394395125337,1
40,3.0504123671105132,1
2,4.161559291623856,2
3,3.7891181746050897,2
4,3.5056093181585117,2
5,4.42819427802385,2
6,3.9162134421718826,2
7,3.769105751190584,2
8,4.323374742847794,2
9,4.126349611776148,2
10,2.99339156459301,2
11,3.9308470885963915,2
12,4.1065190832491,2
13,3.6961350213805124,2
14,4.452404745629759,2
15,3.725429209447954,2
16,3.2039606813084847,2
17,3.4692803126200293,2
18,3.8140020594200856,2
19,3.4468790292697125,2
20,3.5613710567510446,2
21,3.1084523284780152,2
22,2.5679896942588636,2
23,3.012415902364193,2
24,3.553504499747761,2
25,2.735642807809403,2
26,3.500094611808576,2
27,2.7682650301905625,2
28,3.4728202028184785,2
29,3.406773358189018,2
30,2.90316320573293,2
31,2.999305839022501,2
32,2.992723216114016,2
33,2.6309869541886663,2
34,2.886286535548002,2
35,2.882337997579128,2
36,3.1856270690369453,2
37,3.503994557943991,2
38,2.674950960495944,2
39,3.243349800264661,2
40,2.7191729469399255,2
2,4.305101959925908,3
3,3.951792886056303,3
4,3.6936092973025443,3
5,4.716972167935011,3
6,4.2897655122651495,3
7,4.042255348533732,3
8,3.6298076470799217,3
9,4.025534013569569,3
10,4.297777212700192,3
11,3.920515698140362,3
12,3.263249035864714,3
13,4.27473691109781,3
14,3.720636844939617,3
15,3.460292138323856,3
16,3.810938848638602,3
17,3.2939618155346113,3
18,3.380414940187346,3
19,3.292684970475337,3
20,2.9033842705136843,3
21,3.143459632159381,3
22,3.938822830179426,3
23,3.678332444895897,3
24,3.2561848486292697,3
25,2.8814588663413274,3
