cluster,Average_silhouette_score,dose
2,0.36133623082780264,all_threshold
3,0.03778520110383774,all_threshold
4,0.04254982724858507,all_threshold
5,0.04716658267199449,all_threshold
6,0.03839995225974713,all_threshold
7,0.03830179897752531,all_threshold
8,0.009515717219579977,all_threshold
9,0.04088251668822025,all_threshold
10,0.04247168473148584,all_threshold
11,0.043432691506389516,all_threshold
12,0.013625562855869928,all_threshold
13,0.018168460235888126,all_threshold
14,0.01994629225256087,all_threshold
15,0.010101280993811846,all_threshold
16,0.01570200482697155,all_threshold
17,0.022083493498547668,all_threshold
18,0.023785564485719404,all_threshold
19,0.016336588785688826,all_threshold
20,0.01261506083762998,all_threshold
21,-0.003882127759255246,all_threshold
22,0.00736043533446512,all_threshold
23,0.014560186947088829,all_threshold
24,0.015369761819001397,all_threshold
25,0.0047081054577754276,all_threshold
26,0.00012709909475464183,all_threshold
27,0.01290221378583483,all_threshold
28,-0.0031352973565962486,all_threshold
29,0.0009873122844379384,all_threshold
30,0.0056989071237836765,all_threshold
31,0.006234841125101072,all_threshold
32,0.008820409552905391,all_threshold
33,0.006896532235800989,all_threshold
34,-0.0025598221418105006,all_threshold
35,0.0006410030484570666,all_threshold
36,-0.003017318501360935,all_threshold
37,-0.0005754283470899251,all_threshold
38,-0.0008757560755428926,all_threshold
39,0.0004311689560292377,all_threshold
40,0.008460233144762465,all_threshold
