cluster,Average_silhouette_score,dose
2,0.07333812490461447,1
3,0.06171454670798532,1
4,0.016204429019826366,1
5,0.017900337584471328,1
6,0.017327180705075235,1
7,0.019313174874566203,1
8,0.020966116917465458,1
9,0.0019544035021756374,1
10,0.010728454286610992,1
11,0.003397737869013827,1
12,0.003710450603188993,1
13,-0.0007506519883310263,1
14,0.0035489198412942988,1
15,-0.0004478264274582192,1
16,-0.007020862233765482,1
17,0.01726372433400429,1
18,-0.011362093814969264,1
19,-0.002478185669050713,1
20,-0.0031562559908602113,1
21,0.013734248184084743,1
22,0.000378627398251161,1
23,-0.000548063335680066,1
24,-0.00023894174846330278,1
25,0.0038130138168676157,1
26,-0.0017619187347629552,1
27,-0.025508763051336727,1
28,-0.0013529285171178995,1
29,0.0034107154473329987,1
30,-0.015968507483492166,1
31,-0.002655627288554985,1
32,-0.0048919103434657005,1
33,-0.003143499603510086,1
34,0.0011118955782758314,1
35,0.0007647694612304146,1
36,-0.00573627406669246,1
37,-0.02279012733810158,1
38,-0.015389119757680364,1
39,0.001881469539897531,1
40,-0.005788382696301663,1
2,0.07472907776996993,2
3,0.0677708083527983,2
4,0.01758026443580337,2
5,0.019263880582705232,2
6,0.018944161867323735,2
7,0.01821892256333603,2
8,0.009728709110745838,2
9,0.018628307155626155,2
10,0.009556618664718863,2
11,0.013402110917705632,2
12,0.005300797270005249,2
13,-0.0018974412122298345,2
14,0.012105550160009713,2
15,-0.002893166629665876,2
16,-0.011036671345465767,2
17,-0.013529562046015466,2
18,-0.005210039539924473,2
19,0.001882658378572455,2
20,-0.0039817066675495545,2
21,-0.010708875731846623,2
22,-0.007142666893840958,2
23,-0.002992487328747884,2
24,-0.008583693937291378,2
25,0.0004257687605407359,2
26,-0.001802564722592549,2
27,-0.013173891175832462,2
28,-0.004067267790029481,2
29,-0.012214794071235538,2
30,-0.010200018036895851,2
31,-0.009705460108179747,2
32,-0.004314112783664647,2
33,-0.006840457637698806,2
34,-0.0046997000508191495,2
35,-0.007591955223863406,2
36,0.0030860166767873896,2
37,-0.008921068710960859,2
38,-0.014894827590351538,2
39,-0.0035323900966779914,2
40,-0.00842437769382134,2
2,0.08971862967772114,3
3,0.050477946667598216,3
4,0.04220378130782536,3
5,0.014929506673503533,3
6,0.04683775750096409,3
7,0.013357436701546975,3
8,0.004095888608152813,3
9,0.01173344317119524,3
10,0.014897296779269632,3
11,0.016888673995536483,3
12,-0.00047252273654149475,3
13,0.0008670569075795103,3
