moa	dose	assay	avg_precision	no_of_compounds_per_moa	median_replicate_correlation	p_value_percent_matching
acetylcholinesterase inhibitor	All	Cell Painting	9.985123159920296e-4	12	4.480747031257581e-4	0.929
acetylcholinesterase inhibitor	All	L1000	0.0012488058043038154	12	0.07247679772106227	0
adenosine receptor agonist	0.04 uM	Cell Painting	0.002845658289978535	3	0.009583710050606715	0.442
adenosine receptor agonist	0.12 uM	Cell Painting	0.0031560570691587402	3	-0.018228040678737338	0.814
adenosine receptor agonist	0.37 uM	Cell Painting	0.0028120543147042197	3	0.004757343392400255	0.501
adenosine receptor agonist	1.11 uM	Cell Painting	0.0025904012677674822	3	-0.01488758017780848	0.771
adenosine receptor agonist	3.33 uM	Cell Painting	0.004737853650216463	3	0.0034734524644758746	0.538
adenosine receptor agonist	10 uM	Cell Painting	0.002468225541496204	3	0.010341219232296849	0.544
adenosine receptor agonist	All	Cell Painting	0.00196253461640186	18	0.0013726521117737355	0.964
adenosine receptor agonist	0.04 uM	L1000	0.0027979597141369614	3	0.02931698664294796	0.402
adenosine receptor agonist	0.12 uM	L1000	0.005064881529796085	3	0.01198816999073451	0.498
adenosine receptor agonist	0.37 uM	L1000	0.003432083573584206	3	0.022152702297397967	0.48
adenosine receptor agonist	1.11 uM	L1000	0.0018702546088853475	3	0.02104148083792866	0.456
adenosine receptor agonist	3.33 uM	L1000	0.0024086700387907895	3	0.004704607728849526	0.533
adenosine receptor agonist	10 uM	L1000	0.014498155687086593	3	0.12269649349620604	0.059
adenosine receptor agonist	All	L1000	0.002422767454300869	18	0.031170786013946114	0.09
adenosine receptor antagonist	0.04 uM	Cell Painting	0.0050931245452798795	4	0.0017039192367026192	0.612
adenosine receptor antagonist	0.12 uM	Cell Painting	0.0052110407158572555	4	0.010194253557004271	0.451
adenosine receptor antagonist	0.37 uM	Cell Painting	0.003496054272255266	4	-0.010265247218784784	0.796
adenosine receptor antagonist	1.11 uM	Cell Painting	0.003639165697191534	4	8.94583260279724e-4	0.6
adenosine receptor antagonist	3.33 uM	Cell Painting	0.0038889253316297242	4	-0.010807228199724055	0.822
adenosine receptor antagonist	10 uM	Cell Painting	0.005212586291700224	4	0.04162152620298877	0.19
adenosine receptor antagonist	All	Cell Painting	0.0031856332030615097	24	0.007354406960270841	0.331
adenosine receptor antagonist	0.04 uM	L1000	0.011517036124857327	4	0.012554783865449313	0.593
adenosine receptor antagonist	0.12 uM	L1000	0.0070721820881460284	4	0.07159006676259663	0.118
adenosine receptor antagonist	0.37 uM	L1000	0.004256457064807231	4	0.05386339085773438	0.243
adenosine receptor antagonist	1.11 uM	L1000	0.056873814776113626	4	0.19551645494534714	0.002
adenosine receptor antagonist	3.33 uM	L1000	0.004868414991525068	4	0.11694950644675987	0.03
adenosine receptor antagonist	10 uM	L1000	0.0033531570342515537	4	0.0029132137500959172	0.694
adenosine receptor antagonist	All	L1000	0.005579299904869281	24	0.06796649006311462	0
adrenergic inhibitor	All	Cell Painting	0.0010755818892012106	12	0.010135511948474465	0.157
adrenergic inhibitor	All	L1000	7.270595793780389e-4	12	-3.8294089074067996e-4	0.997
adrenergic receptor agonist	0.04 uM	Cell Painting	0.020115452726086412	20	0.0050159376071951586	0.683
adrenergic receptor agonist	0.12 uM	Cell Painting	0.019691152490993413	20	0.002574939720989639	0.838
adrenergic receptor agonist	0.37 uM	Cell Painting	0.02236856497216332	20	0.007998582908235224	0.362
adrenergic receptor agonist	1.11 uM	Cell Painting	0.022158715155001542	20	0.003154966055726471	0.749
adrenergic receptor agonist	3.33 uM	Cell Painting	0.02165457481803817	20	0.0060439453744752375	0.528
adrenergic receptor agonist	10 uM	Cell Painting	0.020961689413938923	20	0.008378001810730645	0.886
adrenergic receptor agonist	All	Cell Painting	0.020366162785805334	120	0.004513737763296247	0.984
adrenergic receptor agonist	0.04 uM	L1000	0.02107554603217348	20	0.023120714874278935	0.659
adrenergic receptor agonist	0.12 uM	L1000	0.024111018964727754	20	0.028389297501136643	0.341
adrenergic receptor agonist	0.37 uM	L1000	0.024180051274983516	20	0.029667212868663632	0.392
adrenergic receptor agonist	1.11 uM	L1000	0.021802200714553494	20	0.028509036444948815	0.305
adrenergic receptor agonist	3.33 uM	L1000	0.024928427909377868	20	0.024944582547288884	0.36
adrenergic receptor agonist	10 uM	L1000	0.022858142668753027	20	0.02060911430176974	0.741
adrenergic receptor agonist	All	L1000	0.022382652086318306	120	0.02970492371346617	0.001
adrenergic receptor antagonist	0.04 uM	Cell Painting	0.03693682457485694	31	0.011885553217579345	0.134
adrenergic receptor antagonist	0.12 uM	Cell Painting	0.03354740549705293	31	0.009110430087823206	0.307
adrenergic receptor antagonist	0.37 uM	Cell Painting	0.03457749230778022	31	0.009023008927191614	0.224
adrenergic receptor antagonist	1.11 uM	Cell Painting	0.032744304117584166	31	0.006356362262147955	0.523
adrenergic receptor antagonist	3.33 uM	Cell Painting	0.03394923766262515	31	0.005774187425717837	0.597
adrenergic receptor antagonist	10 uM	Cell Painting	0.03557338141088541	31	0.017612812912331202	0.419
adrenergic receptor antagonist	All	Cell Painting	0.03373921763051385	180	0.006295542835573886	0.457
