target	dose	assay	avg_precision	no_of_compounds_per_target	median_correlation
ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	0.04 uM	Cell Painting	0.028022980817618726	31	0.005335294722618579
ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	0.04 uM	L1000	0.04340888639568845	30	0.02965928757546798
ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	0.12 uM	Cell Painting	0.03459945296866579	31	0.007825566717886364
ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	0.12 uM	L1000	0.024920243857358776	30	0.03017836018884872
ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	0.37 uM	Cell Painting	0.03565959231882978	31	0.009868759061498068
ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	0.37 uM	L1000	0.0456295980441382	30	0.027971655484692284
ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	1.11 uM	Cell Painting	0.04041248763968678	31	0.012213577823094166
ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	1.11 uM	L1000	0.03264629197277069	30	0.026301569522960075
ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	3.33 uM	Cell Painting	0.02796485026742384	31	0.015783752195071315
ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	3.33 uM	L1000	0.024309787782717987	30	0.032245702786629624
ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	10 uM	Cell Painting	0.03791920119402203	31	0.02209369561440314
ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	10 uM	L1000	0.03914953327929478	30	0.01884350208755982
ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	All	Cell Painting	0.03229988669136864	186	0.0114927344983694
ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	All	L1000	0.026938210091072133	180	0.02620281010902091
ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	0.04 uM	Cell Painting	0.04178342983726538	37	0.003425552294425677
ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	0.04 uM	L1000	0.03285060648096207	36	0.0230091413026133
ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	0.12 uM	Cell Painting	0.039722405592827144	37	0.0029794960451541698
ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	0.12 uM	L1000	0.0379884529560693	36	0.01175617529727326
ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	0.37 uM	Cell Painting	0.03812557959496428	37	0.0015653270580636399
ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	0.37 uM	L1000	0.03337841694468428	36	0.018092264698951675
ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	1.11 uM	Cell Painting	0.032475798576493776	37	0.0072009760157839275
ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	1.11 uM	L1000	0.043981365299246226	36	0.025841034501890757
ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	3.33 uM	Cell Painting	0.03680132562966572	37	0.005627744740239081
ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	3.33 uM	L1000	0.04132395617299514	36	0.028254821603333223
ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	10 uM	Cell Painting	0.037627318770373785	37	0.02324995453264602
ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	10 uM	L1000	0.044343281105317975	36	0.025969692361715733
ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	All	Cell Painting	0.034059709632242446	222	0.004475850708621943
ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1	All	L1000	0.035934936513521754	216	0.018935598579007694
ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	0.04 uM	Cell Painting	0.005976685152882014	5	0.05277635015021202
ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	0.04 uM	L1000	0.004241919467141185	5	0.05907331142554873
ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	0.12 uM	Cell Painting	0.00663498370785658	5	0.03661344745395474
