pert_iname	moa	L1000_probe	L1000_readout	L1000_abs_readout	gene_symbol
alisertib	aurora kinase inhibitor	205450_at	-2.12744995	2.12744995	PHKA1
alisertib	aurora kinase inhibitor	215903_s_at	2.36095015	2.36095015	MAST2
alisertib	aurora kinase inhibitor	205039_s_at	4.63955	4.63955	IKZF1
alisertib	aurora kinase inhibitor	218346_s_at	3.9227252	3.9227252	SESN1
alisertib	aurora kinase inhibitor	40829_at	2.3881249999999996	2.3881249999999996	WDTC1
alisertib	aurora kinase inhibitor	204252_at	-2.02177495	2.02177495	CDK2
alisertib	aurora kinase inhibitor	217900_at	-5.013225	5.013225	IARS2
alisertib	aurora kinase inhibitor	202284_s_at	2.580275	2.580275	CDKN1A
alisertib	aurora kinase inhibitor	210058_at	3.3427249999999997	3.3427249999999997	MAPK13
alisertib	aurora kinase inhibitor	209095_at	-4.63015	4.63015	DLD
alisertib	aurora kinase inhibitor	202599_s_at	-2.059325	2.059325	NRIP1
alisertib	aurora kinase inhibitor	208728_s_at	-2.298975	2.298975	CDC42
alisertib	aurora kinase inhibitor	219363_s_at	-2.24755005	2.24755005	MTERFD1
alisertib	aurora kinase inhibitor	203665_at	2.007625	2.007625	HMOX1
alisertib	aurora kinase inhibitor	219384_s_at	2.0732749999999998	2.0732749999999998	ADAT1
alisertib	aurora kinase inhibitor	202076_at	-4.25817535	4.25817535	BIRC2
alisertib	aurora kinase inhibitor	219352_at	2.0011499969999997	2.0011499969999997	HERC6
alisertib	aurora kinase inhibitor	204126_s_at	-3.5385999999999997	3.5385999999999997	CDC45
alisertib	aurora kinase inhibitor	217140_s_at	-3.1301750999999998	3.1301750999999998	VDAC1
alisertib	aurora kinase inhibitor	205963_s_at	-2.5698	2.5698	DNAJA3
alisertib	aurora kinase inhibitor	217761_at	-2.7235001	2.7235001	ADI1
alisertib	aurora kinase inhibitor	209806_at	2.107325	2.107325	HIST1H2BK
alisertib	aurora kinase inhibitor	201351_s_at	-2.3082502000000003	2.3082502000000003	YME1L1
alisertib	aurora kinase inhibitor	219016_at	-2.922275	2.922275	FASTKD5
alisertib	aurora kinase inhibitor	200981_x_at	-2.674375	2.674375	GNAS
alisertib	aurora kinase inhibitor	202705_at	-2.406725	2.406725	CCNB2
alisertib	aurora kinase inhibitor	208708_x_at	-3.419625	3.419625	EIF5
alisertib	aurora kinase inhibitor	203409_at	5.4466748	5.4466748	DDB2
alisertib	aurora kinase inhibitor	206173_x_at	2.090375	2.090375	GABPB1
alisertib	aurora kinase inhibitor	214086_s_at	-3.05860005	3.05860005	PARP2
aphidicolin	rna synthesis inhibitor	209040_s_at	2.8620818999999997	2.8620818999999997	PSMB8
aphidicolin	rna synthesis inhibitor	202284_s_at	4.12179365	4.12179365	CDKN1A
aphidicolin	rna synthesis inhibitor	204781_s_at	2.8432423	2.8432423	FAS
aphidicolin	rna synthesis inhibitor	203379_at	2.2807468	2.2807468	RPS6KA1
aphidicolin	rna synthesis inhibitor	208708_x_at	-2.19966155	2.19966155	EIF5
aphidicolin	rna synthesis inhibitor	202431_s_at	-2.8583058	2.8583058	MYC
aphidicolin	rna synthesis inhibitor	217761_at	2.93699125	2.93699125	ADI1
aphidicolin	rna synthesis inhibitor	218346_s_at	3.7658731999999997	3.7658731999999997	SESN1
aphidicolin	rna synthesis inhibitor	201589_at	-2.24498115	2.24498115	SMC1A
aphidicolin	rna synthesis inhibitor	201762_s_at	2.0407626	2.0407626	PSME2
aphidicolin	rna synthesis inhibitor	218852_at	-2.9094764	2.9094764	PPP2R3C
aphidicolin	rna synthesis inhibitor	201608_s_at	-2.21581165	2.21581165	PWP1
at13387	hsp antagonist	201695_s_at	-3.4176314000000003	3.4176314000000003	PNP
at13387	hsp antagonist	218175_at	2.1258920999999997	2.1258920999999997	CCDC92
at13387	hsp antagonist	217752_s_at	-2.31269275	2.31269275	CNDP2
at13387	hsp antagonist	205055_at	-2.7397538	2.7397538	ITGAE
at13387	hsp antagonist	203696_s_at	4.849891899999999	4.849891899999999	RFC2
at13387	hsp antagonist	203659_s_at	2.1235828999999997	2.1235828999999997	TRIM13
at13387	hsp antagonist	218407_x_at	-3.5698244499999996	3.5698244499999996	NENF
at13387	hsp antagonist	212973_at	-2.93098665	2.93098665	RPIA
at13387	hsp antagonist	203458_at	2.071177825	2.071177825	SPR
at13387	hsp antagonist	209586_s_at	4.2878104	4.2878104	PRUNE
at13387	hsp antagonist	201170_s_at	-2.75372885	2.75372885	BHLHE40
at13387	hsp antagonist	203931_s_at	-2.22635535	2.22635535	MRPL12
at13387	hsp antagonist	218852_at	-2.4903645	2.4903645	PPP2R3C
at13387	hsp antagonist	202109_at	2.0051065	2.0051065	ARFIP2
at13387	hsp antagonist	213844_at	4.12109325	4.12109325	HOXA5
at13387	hsp antagonist	204256_at	-2.3234036	2.3234036	ELOVL6
at13387	hsp antagonist	202148_s_at	-3.1619014500000002	3.1619014500000002	PYCR1
at13387	hsp antagonist	203221_at	-2.3525594	2.3525594	TLE1
at13387	hsp antagonist	202630_at	-2.72992095	2.72992095	APPBP2
at13387	hsp antagonist	212943_at	-2.24557875	2.24557875	KIAA0528
at13387	hsp antagonist	203575_at	2.11072065	2.11072065	CSNK2A2
at13387	hsp antagonist	205451_at	2.00995468	2.00995468	FOXO4
at13387	hsp antagonist	209603_at	2.0723538	2.0723538	GATA3
at13387	hsp antagonist	204252_at	-2.7675709	2.7675709	CDK2
at13387	hsp antagonist	202900_s_at	-3.2667152	3.2667152	NUP88
at13387	hsp antagonist	203218_at	-2.4260611499999998	2.4260611499999998	MAPK9
at13387	hsp antagonist	203123_s_at	2.83564065	2.83564065	SLC11A2
at13387	hsp antagonist	201432_at	2.2813619	2.2813619	CAT
at13387	hsp antagonist	209095_at	-2.43596745	2.43596745	DLD
at13387	hsp antagonist	202241_at	-2.0461519	2.0461519	TRIB1
at13387	hsp antagonist	219363_s_at	-2.6098219	2.6098219	MTERFD1
at13387	hsp antagonist	212665_at	-2.44772885	2.44772885	TIPARP
at13387	hsp antagonist	201494_at	2.10934185	2.10934185	PRCP
at13387	hsp antagonist	217934_x_at	-2.71573235	2.71573235	STUB1
