compound	no_of_replicates	dose	p_value	matching_score	assay	normalization	category
albendazole	5	0.04 uM	0.55	0.0016312494876665	Cell Painting	non_spherized	all_data
alectinib	5	0.04 uM	0.554	-0.0018430000785294	Cell Painting	non_spherized	all_data
alisertib	5	0.04 uM	0.054	0.2122902426775815	Cell Painting	non_spherized	all_data
aliskiren	5	0.04 uM	0.55	0.0013415380331618	Cell Painting	non_spherized	all_data
alizapride	4	0.04 uM	0.22	0.1175846458676152	Cell Painting	non_spherized	all_data
allopurinol	5	0.04 uM	0.554	-0.0017583774451105	Cell Painting	non_spherized	all_data
almitrine	5	0.04 uM	0.545	0.0021697598429196	Cell Painting	non_spherized	all_data
almorexant	5	0.04 uM	0.552	-0.0002604950940566	Cell Painting	non_spherized	all_data
altanserin	4	0.04 uM	0.224	0.1150426565904458	Cell Painting	non_spherized	all_data
altrenogest	5	0.04 uM	0.001	0.454511403566301	Cell Painting	non_spherized	all_data
altretamine	5	0.04 uM	0.004	0.3758413927372516	Cell Painting	non_spherized	all_data
alvespimycin	5	0.04 uM	0.116	0.1527256520749621	Cell Painting	non_spherized	all_data
alvimopan	5	0.04 uM	0.0	0.6660803135268053	Cell Painting	non_spherized	all_data
alvocidib	5	0.04 uM	0.0	0.5525068496842309	Cell Painting	non_spherized	all_data
am-24	5	0.04 uM	0.55	0.0016141238451245	Cell Painting	non_spherized	all_data
amantadine	5	0.04 uM	0.554	-0.001455435103864	Cell Painting	non_spherized	all_data
ambrisentan	2	0.04 uM	0.535	0.0073080694731911	Cell Painting	non_spherized	all_data
ambroxol	5	0.04 uM	0.553	-0.00134600146595	Cell Painting	non_spherized	all_data
amd11070	2	0.04 uM	0.543	0.0017160173720016	Cell Painting	non_spherized	all_data
amg-208	5	0.04 uM	0.003	0.4058107947745972	Cell Painting	non_spherized	all_data
amg-232	5	0.04 uM	0.344	0.0558792679937336	Cell Painting	non_spherized	all_data
amg-517	5	0.04 uM	0.0	0.6376822418047468	Cell Painting	non_spherized	all_data
amikacin	5	0.04 uM	0.556	-0.0024358927502585	Cell Painting	non_spherized	all_data
amiloride	5	0.04 uM	0.602	-0.0132703832806545	Cell Painting	non_spherized	all_data
aminocaproic-acid	5	0.04 uM	0.616	-0.0171931780384191	Cell Painting	non_spherized	all_data
aminoglutethimide	5	0.04 uM	0.478	0.0203053648308187	Cell Painting	non_spherized	all_data
aminoguanidine	5	0.04 uM	0.493	0.0169252539160114	Cell Painting	non_spherized	all_data
aminolevulinic-acid	5	0.04 uM	0.54	0.0037670789816103	Cell Painting	non_spherized	all_data
aminosalicylic-acid	5	0.04 uM	0.55	0.0012237257352077	Cell Painting	non_spherized	all_data
amiodarone	5	0.04 uM	0.057	0.2095046000896839	Cell Painting	non_spherized	all_data
amiprilose	5	0.04 uM	0.34	0.0572238066386726	Cell Painting	non_spherized	all_data
amitifadine	5	0.04 uM	0.552	-0.0001294675663475	Cell Painting	non_spherized	all_data
amlexanox	5	0.04 uM	0.55	0.0013550325664581	Cell Painting	non_spherized	all_data
amlodipine	5	0.04 uM	0.193	0.1119203951847012	Cell Painting	non_spherized	all_data
ammonium-glycyrrhizinate	5	0.04 uM	0.248	0.0878101365110754	Cell Painting	non_spherized	all_data
amonafide	5	0.04 uM	0.553	-0.001344086021508	Cell Painting	non_spherized	all_data
amoxapine	4	0.04 uM	0.306	0.0795310183505041	Cell Painting	non_spherized	all_data
ampalex	5	0.04 uM	0.554	-0.0019987476901786	Cell Painting	non_spherized	all_data
amrinone	5	0.04 uM	0.552	0.0004187041886924	Cell Painting	non_spherized	all_data
amsacrine	5	0.04 uM	0.0	0.8559220986391138	Cell Painting	non_spherized	all_data
amtolmetin-guacil	5	0.04 uM	0.553	-0.0008939178013166	Cell Painting	non_spherized	all_data
amuvatinib	5	0.04 uM	0.553	-0.0013440860215049	Cell Painting	non_spherized	all_data
anamorelin	4	0.04 uM	0.465	0.0208838725716029	Cell Painting	non_spherized	all_data
anandamide	2	0.04 uM	0.535	0.0057993528571344	Cell Painting	non_spherized	all_data
andrographolide	5	0.04 uM	0.547	0.001967648149927	Cell Painting	non_spherized	all_data
anecortave-acetate	5	0.04 uM	0.553	-0.0013440860215054	Cell Painting	non_spherized	all_data
anidulafungin	5	0.04 uM	0.552	8.940760572000953e-05	Cell Painting	non_spherized	all_data
aniracetam	5	0.04 uM	0.552	-1.3114509478384662e-15	Cell Painting	non_spherized	all_data
anisodamine	5	0.04 uM	0.004	0.3581965484146304	Cell Painting	non_spherized	all_data
ap26113	5	0.04 uM	0.544	0.003279802193786	Cell Painting	non_spherized	all_data
apafant	5	0.04 uM	0.545	0.0021740875662094	Cell Painting	non_spherized	all_data
apd668	5	0.04 uM	0.545	0.0023559184409189	Cell Painting	non_spherized	all_data
aphidicolin	5	0.04 uM	0.0	0.5443261122094969	Cell Painting	non_spherized	all_data
api-001	5	0.04 uM	0.544	0.0031831023838582	Cell Painting	non_spherized	all_data
apixaban	5	0.04 uM	0.306	0.0673130976287273	Cell Painting	non_spherized	all_data
apocynin	5	0.04 uM	0.544	0.0032502363610751	Cell Painting	non_spherized	all_data
apremilast	5	0.04 uM	0.471	0.0219900506399417	Cell Painting	non_spherized	all_data
aprepitant	5	0.04 uM	0.55	0.0016117631446051	Cell Painting	non_spherized	all_data
arbutin	5	0.04 uM	0.554	-0.0016703471770846	Cell Painting	non_spherized	all_data
argatroban	5	0.04 uM	0.544	0.00251989268273	Cell Painting	non_spherized	all_data
arglabin	5	0.04 uM	0.195	0.1114157637403132	Cell Painting	non_spherized	all_data
aripiprazole	5	0.04 uM	0.613	-0.0166495198678644	Cell Painting	non_spherized	all_data
arofylline	5	0.04 uM	0.042	0.2358236377449503	Cell Painting	non_spherized	all_data
arry-334543	5	0.04 uM	0.445	0.0282896588373282	Cell Painting	non_spherized	all_data
artesunate	5	0.04 uM	0.552	0.0002510186086305	Cell Painting	non_spherized	all_data
asa-404	5	0.04 uM	0.224	0.097854937602826	Cell Painting	non_spherized	all_data
asc-j9	5	0.04 uM	0.102	0.1723121615102775	Cell Painting	non_spherized	all_data
asenapine	5	0.04 uM	0.552	-0.0004610837305665	Cell Painting	non_spherized	all_data
aspirin	5	0.04 uM	0.009	0.3405063876001094	Cell Painting	non_spherized	all_data
at13387	5	0.04 uM	0.553	-0.0013440860211903	Cell Painting	non_spherized	all_data
ataluren	5	0.04 uM	0.0	0.4857872182209416	Cell Painting	non_spherized	all_data
atenolol	5	0.04 uM	0.546	0.0020622516053612	Cell Painting	non_spherized	all_data
atipamezole	2	0.04 uM	0.551	-0.0037039298769381	Cell Painting	non_spherized	all_data
atn-161	4	0.04 uM	0.441	0.0307112574936841	Cell Painting	non_spherized	all_data
atomoxetine	5	0.04 uM	0.153	0.1333882418827627	Cell Painting	non_spherized	all_data
atorvastatin	5	0.04 uM	0.553	-0.0013440860215054	Cell Painting	non_spherized	all_data
atracurium	5	0.04 uM	0.0	0.5941393878334023	Cell Painting	non_spherized	all_data
atrasentan	5	0.04 uM	0.55	0.0013435705030079	Cell Painting	non_spherized	all_data
av-608	5	0.04 uM	0.56	-0.0034584019647648	Cell Painting	non_spherized	all_data
avagacestat	5	0.04 uM	0.02	0.2865999098977644	Cell Painting	non_spherized	all_data
avanafil	5	0.04 uM	0.01	0.3193320701972982	Cell Painting	non_spherized	all_data
avasimibe	5	0.04 uM	0.003	0.3918315344943044	Cell Painting	non_spherized	all_data
avl-292	5	0.04 uM	0.048	0.2255139663589269	Cell Painting	non_spherized	all_data
avn-944	5	0.04 uM	0.554	-0.0017997912078087	Cell Painting	non_spherized	all_data
azacitidine	5	0.04 uM	0.009	0.3268470409719215	Cell Painting	non_spherized	all_data
azathioprine	5	0.04 uM	0.475	0.0209525980976663	Cell Painting	non_spherized	all_data
azd1208	5	0.04 uM	0.031	0.2624730841916828	Cell Painting	non_spherized	all_data
azd1480	5	0.04 uM	0.563	-0.0046107379660569	Cell Painting	non_spherized	all_data
azd1981	5	0.04 uM	0.544	0.0030571805894702	Cell Painting	non_spherized	all_data
azd2014	5	0.04 uM	0.55	0.0013440860215055	Cell Painting	non_spherized	all_data
azd3514	5	0.04 uM	0.553	-0.0013521000275746	Cell Painting	non_spherized	all_data
azd4547	5	0.04 uM	0.204	0.1065439735631755	Cell Painting	non_spherized	all_data
azd5363	5	0.04 uM	0.552	6.245004513516506e-17	Cell Painting	non_spherized	all_data
azd7545	5	0.04 uM	0.55	0.0012148565778912	Cell Painting	non_spherized	all_data
azd7687	5	0.04 uM	0.497	0.0156258451711611	Cell Painting	non_spherized	all_data
azd7762	5	0.04 uM	0.526	0.0068933322293986	Cell Painting	non_spherized	all_data
azd8931	5	0.04 uM	0.551	0.0010393582663917	Cell Painting	non_spherized	all_data
azd9668	5	0.04 uM	0.556	-0.0022657608516251	Cell Painting	non_spherized	all_data
azelaic-acid	5	0.04 uM	0.526	0.0066705412563905	Cell Painting	non_spherized	all_data
azelastine	5	0.04 uM	0.554	-0.0018124179260882	Cell Painting	non_spherized	all_data
balaglitazone	4	0.04 uM	0.522	0.0012600400698977	Cell Painting	non_spherized	all_data
balapiravir	5	0.04 uM	0.544	0.0030812549208316	Cell Painting	non_spherized	all_data
balicatib	5	0.04 uM	0.552	-0.000435309486419	Cell Painting	non_spherized	all_data
balsalazide	2	0.04 uM	0.603	-0.0366286839604086	Cell Painting	non_spherized	all_data
bambuterol	5	0.04 uM	0.553	-0.0012810406724841	Cell Painting	non_spherized	all_data
bardoxolone-methyl	5	0.04 uM	0.55	0.0013440860215337	Cell Painting	non_spherized	all_data
basimglurant	5	0.04 uM	0.086	0.1821356615774667	Cell Painting	non_spherized	all_data
batimastat	5	0.04 uM	0.476	0.0206978906414293	Cell Painting	non_spherized	all_data
bavisant	5	0.04 uM	0.533	0.0051465705784854	Cell Painting	non_spherized	all_data
bay-87-2243	5	0.04 uM	0.394	0.0394798483200107	Cell Painting	non_spherized	all_data
bazedoxifene	5	0.04 uM	0.553	-0.0013426802754075	Cell Painting	non_spherized	all_data
bci-540	5	0.04 uM	0.077	0.1885806668708026	Cell Painting	non_spherized	all_data
beclomethasone-dipropionate	5	0.04 uM	0.479	0.0199655809833922	Cell Painting	non_spherized	all_data
belinostat	5	0.04 uM	0.448	0.026972522507846	Cell Painting	non_spherized	all_data
bemegride	5	0.04 uM	0.567	-0.0053054437780006	Cell Painting	non_spherized	all_data
benazepril	5	0.04 uM	0.486	0.0183056648187557	Cell Painting	non_spherized	all_data
bendamustine	5	0.04 uM	0.557	-0.002451564427211	Cell Painting	non_spherized	all_data
bendroflumethiazide	5	0.04 uM	0.552	0.0002743183022319	Cell Painting	non_spherized	all_data
benzbromarone	5	0.04 uM	0.001	0.4524963581358519	Cell Painting	non_spherized	all_data
benzthiazide	5	0.04 uM	0.553	-0.0013409939440407	Cell Painting	non_spherized	all_data
benzydamine	5	0.04 uM	0.556	-0.0023324691968813	Cell Painting	non_spherized	all_data
benzylpenicillin	5	0.04 uM	0.551	0.0006928686594193	Cell Painting	non_spherized	all_data
bepotastine	5	0.04 uM	0.354	0.0521230791137846	Cell Painting	non_spherized	all_data
berberine	5	0.04 uM	0.544	0.0027261090383636	Cell Painting	non_spherized	all_data
betahistine	5	0.04 uM	0.552	-0.0001377264877384	Cell Painting	non_spherized	all_data
betulinic-acid	2	0.04 uM	0.556	-0.0060154334084322	Cell Painting	non_spherized	all_data
bevirimat-dimeglumine	5	0.04 uM	0.55	0.00133907711994	Cell Painting	non_spherized	all_data
bexarotene	5	0.04 uM	0.0	0.8359912214842541	Cell Painting	non_spherized	all_data
bezafibrate	5	0.04 uM	0.55	0.0013087783361519	Cell Painting	non_spherized	all_data
bicalutamide	5	0.04 uM	0.476	0.0207377821743745	Cell Painting	non_spherized	all_data
bifemelane	5	0.04 uM	0.542	0.0036526804540147	Cell Painting	non_spherized	all_data
bifonazole	5	0.04 uM	0.001	0.4438777820395355	Cell Painting	non_spherized	all_data
bimatoprost	5	0.04 uM	0.308	0.0664609203454863	Cell Painting	non_spherized	all_data
bindarit	5	0.04 uM	0.544	0.0027736204699807	Cell Painting	non_spherized	all_data
biperiden	4	0.04 uM	0.007	0.3648585197685118	Cell Painting	non_spherized	all_data
birinapant	5	0.04 uM	0.574	-0.0067509358345807	Cell Painting	non_spherized	all_data
bisindolylmaleimide	5	0.04 uM	0.552	0.0003123335044705	Cell Painting	non_spherized	all_data
bisoprolol	5	0.04 uM	0.55	0.0012894905545037	Cell Painting	non_spherized	all_data
bitopertin	5	0.04 uM	0.263	0.0805680135931137	Cell Painting	non_spherized	all_data
blonanserin	5	0.04 uM	0.55	0.0016020698568843	Cell Painting	non_spherized	all_data
bms-599626	5	0.04 uM	0.049	0.223422518853625	Cell Painting	non_spherized	all_data
bms-707035	5	0.04 uM	0.061	0.2053131138992205	Cell Painting	non_spherized	all_data
bms-927711	5	0.04 uM	0.266	0.0793030729710515	Cell Painting	non_spherized	all_data
bopindolol	5	0.04 uM	0.0	0.5511751621771297	Cell Painting	non_spherized	all_data
bortezomib	5	0.04 uM	0.0	0.5775633312922652	Cell Painting	non_spherized	all_data
bosentan	5	0.04 uM	0.001	0.449728368135563	Cell Painting	non_spherized	all_data
bosutinib	5	0.04 uM	0.016	0.298942004993644	Cell Painting	non_spherized	all_data
brequinar	5	0.04 uM	0.513	0.0109120628710752	Cell Painting	non_spherized	all_data
bretazenil	5	0.04 uM	0.103	0.1714743767703527	Cell Painting	non_spherized	all_data
brexpiprazole	4	0.04 uM	0.524	-0.0002892890432823	Cell Painting	non_spherized	all_data
brivanib	5	0.04 uM	0.55	0.0015717974546467	Cell Painting	non_spherized	all_data
brivudine	5	0.04 uM	0.57	-0.0055974830532789	Cell Painting	non_spherized	all_data
bromocriptine	5	0.04 uM	0.603	-0.0135860601314598	Cell Painting	non_spherized	all_data
broxuridine	5	0.04 uM	0.558	-0.0029417903865492	Cell Painting	non_spherized	all_data
bruceantin	5	0.04 uM	0.0	0.7757189683184116	Cell Painting	non_spherized	all_data
bts-54505	5	0.04 uM	0.553	-0.001338678839661	Cell Painting	non_spherized	all_data
bucladesine	5	0.04 uM	0.552	-0.0007514149914059	Cell Painting	non_spherized	all_data
budipine	5	0.04 uM	0.552	-5.205146599571076e-05	Cell Painting	non_spherized	all_data
bumetanide	5	0.04 uM	0.551	0.000592170689714	Cell Painting	non_spherized	all_data
bupivacaine	4	0.04 uM	0.375	0.0575469377606368	Cell Painting	non_spherized	all_data
bupropion	5	0.04 uM	0.006	0.3522131412504941	Cell Painting	non_spherized	all_data
buspirone	5	0.04 uM	0.025	0.2740110448966597	Cell Painting	non_spherized	all_data
butoconazole	5	0.04 uM	0.528	0.0059306368129071	Cell Painting	non_spherized	all_data
butorphanol-(+)-tartrate	2	0.04 uM	0.566	-0.0106093639191282	Cell Painting	non_spherized	all_data
bvd-523	5	0.04 uM	0.34	0.0571662262784292	Cell Painting	non_spherized	all_data
cabazitaxel	5	0.04 uM	0.0	0.7470783339694868	Cell Painting	non_spherized	all_data
cabergoline	5	0.04 uM	0.508	0.0126810782226364	Cell Painting	non_spherized	all_data
cabozantinib	5	0.04 uM	0.552	-0.0004472382731164	Cell Painting	non_spherized	all_data
caffeine	4	0.04 uM	0.565	-0.0113431097166421	Cell Painting	non_spherized	all_data
calcitriol	5	0.04 uM	0.007	0.3473709513825544	Cell Painting	non_spherized	all_data
camicinal	5	0.04 uM	0.552	-8.730586588023083e-05	Cell Painting	non_spherized	all_data
camptothecin	2	0.04 uM	0.541	0.0025289175140434	Cell Painting	non_spherized	all_data
canagliflozin	5	0.04 uM	0.621	-0.0191763019415706	Cell Painting	non_spherized	all_data
candesartan	5	0.04 uM	0.014	0.3045387459976138	Cell Painting	non_spherized	all_data
canertinib	5	0.04 uM	0.536	0.0049931336941408	Cell Painting	non_spherized	all_data
canrenoic-acid	5	0.04 uM	0.369	0.0467329270225602	Cell Painting	non_spherized	all_data
capecitabine	5	0.04 uM	0.544	0.0032293276122689	Cell Painting	non_spherized	all_data
capsaicin	5	0.04 uM	0.549	0.0018048712353283	Cell Painting	non_spherized	all_data
carbachol	5	0.04 uM	0.539	0.0042397211446947	Cell Painting	non_spherized	all_data
carbamazepine	5	0.04 uM	0.553	-0.0008447939588044	Cell Painting	non_spherized	all_data
carbenoxolone	5	0.04 uM	0.55	0.001341577321632	Cell Painting	non_spherized	all_data
carbimazole	5	0.04 uM	0.545	0.00220466408784	Cell Painting	non_spherized	all_data
carglumic-acid	5	0.04 uM	0.006	0.3532322971037579	Cell Painting	non_spherized	all_data
cariprazine	5	0.04 uM	0.552	-0.0001570156888092	Cell Painting	non_spherized	all_data
carisoprodol	5	0.04 uM	0.546	0.0020215312677515	Cell Painting	non_spherized	all_data
carprofen	5	0.04 uM	0.011	0.3138611872940164	Cell Painting	non_spherized	all_data
carvedilol	5	0.04 uM	0.553	-0.0011098299378849	Cell Painting	non_spherized	all_data
cb-10-277-(free-acid)	5	0.04 uM	0.553	-0.0009948872291025	Cell Painting	non_spherized	all_data
cc-401	5	0.04 uM	0.553	-0.0014124929973733	Cell Painting	non_spherized	all_data
cc-930	5	0.04 uM	0.469	0.0225928265147786	Cell Painting	non_spherized	all_data
cediranib	5	0.04 uM	0.553	-0.0013875280896102	Cell Painting	non_spherized	all_data
cefdinir	5	0.04 uM	0.552	1.021241425853514e-06	Cell Painting	non_spherized	all_data
cefepime	5	0.04 uM	0.004	0.3750750948761207	Cell Painting	non_spherized	all_data
cefoperazone	4	0.04 uM	0.022	0.3149721016509075	Cell Painting	non_spherized	all_data
cefotetan	5	0.04 uM	0.552	-8.9770364557587e-05	Cell Painting	non_spherized	all_data
cefozopran	5	0.04 uM	0.08	0.1864069397822652	Cell Painting	non_spherized	all_data
celecoxib	4	0.04 uM	0.502	0.0077565921271497	Cell Painting	non_spherized	all_data
cep-37440	5	0.04 uM	0.552	-0.0006064894453541	Cell Painting	non_spherized	all_data
cepharanthine	5	0.04 uM	0.55	0.001633583645851	Cell Painting	non_spherized	all_data
cgp12177	2	0.04 uM	0.587	-0.0253345154211571	Cell Painting	non_spherized	all_data
chlorambucil	5	0.04 uM	0.528	0.0059913308327704	Cell Painting	non_spherized	all_data
chlormezanone	5	0.04 uM	0.451	0.0265270625856784	Cell Painting	non_spherized	all_data
chloroxine	5	0.04 uM	0.544	0.002804265325993	Cell Painting	non_spherized	all_data
chlorphenamine	5	0.04 uM	0.26	0.0821230241721608	Cell Painting	non_spherized	all_data
chlorpromazine	5	0.04 uM	0.544	0.0030824474055898	Cell Painting	non_spherized	all_data
chlorpropamide	5	0.04 uM	0.554	-0.0015849283505408	Cell Painting	non_spherized	all_data
chlortalidone	5	0.04 uM	0.553	-0.0013387705599753	Cell Painting	non_spherized	all_data
cholic-acid	2	0.04 uM	0.535	0.0052541709161849	Cell Painting	non_spherized	all_data
choline-alfoscerate	5	0.04 uM	0.56	-0.0035857534155664	Cell Painting	non_spherized	all_data
cianidanol	5	0.04 uM	0.517	0.0101530332964783	Cell Painting	non_spherized	all_data
ciclesonide	5	0.04 uM	0.523	0.0077398553626104	Cell Painting	non_spherized	all_data
ciglitazone	5	0.04 uM	0.552	0.0003265213168166	Cell Painting	non_spherized	all_data
cilengitide	5	0.04 uM	0.554	-0.0014729319190595	Cell Painting	non_spherized	all_data
cilomilast	2	0.04 uM	0.543	0.001874909245984	Cell Painting	non_spherized	all_data
cilostazol	5	0.04 uM	0.553	-0.001160651863127	Cell Painting	non_spherized	all_data
cimetidine	5	0.04 uM	0.037	0.2432297186451166	Cell Painting	non_spherized	all_data
cinaciguat	5	0.04 uM	0.553	-0.0012805707457327	Cell Painting	non_spherized	all_data
cinepazide	5	0.04 uM	0.552	3.122935937627247e-15	Cell Painting	non_spherized	all_data
cinnarizine	5	0.04 uM	0.552	-0.0004414099294411	Cell Painting	non_spherized	all_data
cinoxacin	5	0.04 uM	0.355	0.0519788645138692	Cell Painting	non_spherized	all_data
ciprofloxacin	5	0.04 uM	0.554	-0.0017729072076623	Cell Painting	non_spherized	all_data
cisapride	5	0.04 uM	0.11	0.1596134711045931	Cell Painting	non_spherized	all_data
citalopram	5	0.04 uM	0.551	0.0005568240065068	Cell Painting	non_spherized	all_data
cladribine	5	0.04 uM	0.0	0.4567110054736011	Cell Painting	non_spherized	all_data
clarithromycin	5	0.04 uM	0.55	0.0013440860215054	Cell Painting	non_spherized	all_data
clenbuterol	5	0.04 uM	0.013	0.3079520129824631	Cell Painting	non_spherized	all_data
climbazole	5	0.04 uM	0.051	0.2201909690579428	Cell Painting	non_spherized	all_data
clinafloxacin	5	0.04 uM	0.555	-0.0021665395467055	Cell Painting	non_spherized	all_data
clindamycin	5	0.04 uM	0.557	-0.0025585981012801	Cell Painting	non_spherized	all_data
clinofibrate	5	0.04 uM	0.513	0.0110806822459205	Cell Painting	non_spherized	all_data
clioquinol	5	0.04 uM	0.02	0.284074086047533	Cell Painting	non_spherized	all_data
clobetasol	5	0.04 uM	0.472	0.0214595734507258	Cell Painting	non_spherized	all_data
clofarabine	5	0.04 uM	0.544	0.0032328176391627	Cell Painting	non_spherized	all_data
clofazimine	5	0.04 uM	0.553	-0.0013440860215056	Cell Painting	non_spherized	all_data
clofibric-acid	5	0.04 uM	0.522	0.0078714562530158	Cell Painting	non_spherized	all_data
clofoctol	4	0.04 uM	0.068	0.2297112694611901	Cell Painting	non_spherized	all_data
clomethiazole	5	0.04 uM	0.57	-0.0054938139379804	Cell Painting	non_spherized	all_data
clomifene	5	0.04 uM	0.552	0.000164626476054	Cell Painting	non_spherized	all_data
clonazepam	2	0.04 uM	0.476	0.0489345734475807	Cell Painting	non_spherized	all_data
clonidine	5	0.04 uM	0.549	0.001714306280341	Cell Painting	non_spherized	all_data
clotrimazole	5	0.04 uM	0.545	0.0022690492924718	Cell Painting	non_spherized	all_data
clozapine	2	0.04 uM	0.478	0.04719839041974	Cell Painting	non_spherized	all_data
co-102862	5	0.04 uM	0.553	-0.0013440860215052	Cell Painting	non_spherized	all_data
cobimetinib	4	0.04 uM	0.041	0.2574584731838027	Cell Painting	non_spherized	all_data
colchicine	4	0.04 uM	0.477	0.0177250372828337	Cell Painting	non_spherized	all_data
colforsin-daproate	5	0.04 uM	0.55	0.0013440860215367	Cell Painting	non_spherized	all_data
combretastatin-a-4	5	0.04 uM	0.0	0.5992416283042252	Cell Painting	non_spherized	all_data
conivaptan	2	0.04 uM	0.481	0.0433899373939877	Cell Painting	non_spherized	all_data
cordycepin	5	0.04 uM	0.55	0.0016486690078594	Cell Painting	non_spherized	all_data
cp-945,598	5	0.04 uM	0.54	0.0038990768748708	Cell Painting	non_spherized	all_data
cpi-1189	5	0.04 uM	0.519	0.0094855475456541	Cell Painting	non_spherized	all_data
cpi-613	5	0.04 uM	0.553	-0.0013440860212845	Cell Painting	non_spherized	all_data
cromoglicic-acid	5	0.04 uM	0.432	0.0320404621083704	Cell Painting	non_spherized	all_data
ct-7758	5	0.04 uM	0.048	0.2249876930341058	Cell Painting	non_spherized	all_data
cts-1027	5	0.04 uM	0.0	0.5391085411839902	Cell Painting	non_spherized	all_data
curcumin	5	0.04 uM	0.067	0.1975409504314214	Cell Painting	non_spherized	all_data
cx-4945	5	0.04 uM	0.242	0.0908515593525855	Cell Painting	non_spherized	all_data
cx-5461	5	0.04 uM	0.399	0.0384338160104733	Cell Painting	non_spherized	all_data
cx516	5	0.04 uM	0.552	-2.895687162274285e-15	Cell Painting	non_spherized	all_data
cyanocobalamin	5	0.04 uM	0.0	0.6233109745099478	Cell Painting	non_spherized	all_data
cyclizine	5	0.04 uM	0.55	0.0011394663582994	Cell Painting	non_spherized	all_data
cyclobenzaprine	2	0.04 uM	0.543	0.0018732143985847	Cell Painting	non_spherized	all_data
cyclosporin-a	5	0.04 uM	0.55	0.0016337073829381	Cell Painting	non_spherized	all_data
cyproheptadine	5	0.04 uM	0.009	0.3407349876956483	Cell Painting	non_spherized	all_data
cyproterone-acetate	5	0.04 uM	0.0	0.4621947120344861	Cell Painting	non_spherized	all_data
cytarabine	5	0.04 uM	0.468	0.0240763821779404	Cell Painting	non_spherized	all_data
cytisine	5	0.04 uM	0.55	0.0015891418709212	Cell Painting	non_spherized	all_data
d-serine	5	0.04 uM	0.553	-0.0011571811550214	Cell Painting	non_spherized	all_data
dabigatran-etexilate	5	0.04 uM	0.581	-0.0076520852180124	Cell Painting	non_spherized	all_data
dabrafenib	5	0.04 uM	0.55	0.0014132655846941	Cell Painting	non_spherized	all_data
