compound	no_of_replicates	dose	p_value	matching_score	assay	normalization	category
17-hydroxyprogesterone-caproate	5	0.04 uM	0.002	0.4201165227857351	Cell Painting	non_spherized	all_data
2-iminobiotin	5	0.04 uM	0.526	0.0067428470783912	Cell Painting	non_spherized	all_data
3-amino-benzamide	5	0.04 uM	0.546	0.0020713756376108	Cell Painting	non_spherized	all_data
3-deazaadenosine	5	0.04 uM	0.554	-0.0014376751783823	Cell Painting	non_spherized	all_data
abacavir	5	0.04 uM	0.472	0.0218455321979756	Cell Painting	non_spherized	all_data
abiraterone-acetate	5	0.04 uM	0.062	0.2043275245538372	Cell Painting	non_spherized	all_data
abt-202	5	0.04 uM	0.552	2.2422383242842216e-05	Cell Painting	non_spherized	all_data
abt-239	5	0.04 uM	0.256	0.0842933386741912	Cell Painting	non_spherized	all_data
abt-724	5	0.04 uM	0.55	0.0013446798037046	Cell Painting	non_spherized	all_data
acarbose	4	0.04 uM	0.386	0.0534795180084942	Cell Painting	non_spherized	all_data
acebutolol	5	0.04 uM	0.599	-0.0122583272010863	Cell Painting	non_spherized	all_data
acecainide	5	0.04 uM	0.0	0.5632572699346312	Cell Painting	non_spherized	all_data
acenocoumarol	5	0.04 uM	0.495	0.0162774052461643	Cell Painting	non_spherized	all_data
acetazolamide	2	0.04 uM	0.543	0.0018393154459515	Cell Painting	non_spherized	all_data
acetylcysteine	5	0.04 uM	0.316	0.0636856155040067	Cell Painting	non_spherized	all_data
acexamic-acid	5	0.04 uM	0.553	-0.0013440860215053	Cell Painting	non_spherized	all_data
acifran	5	0.04 uM	0.548	0.0018883621222399	Cell Painting	non_spherized	all_data
acipimox	5	0.04 uM	0.552	-0.0001404632462999	Cell Painting	non_spherized	all_data
acivicin	5	0.04 uM	0.351	0.0530520998108463	Cell Painting	non_spherized	all_data
aclidinium	5	0.04 uM	0.554	-0.0016906157121747	Cell Painting	non_spherized	all_data
acrivastine	5	0.04 uM	0.39	0.0408049551178528	Cell Painting	non_spherized	all_data
actarit	5	0.04 uM	0.553	-0.0011507608440308	Cell Painting	non_spherized	all_data
acy-1215	5	0.04 uM	0.546	0.0021188285648463	Cell Painting	non_spherized	all_data
adapalene	5	0.04 uM	0.221	0.100017726588415	Cell Painting	non_spherized	all_data
adarotene	4	0.04 uM	0.123	0.1798789624197717	Cell Painting	non_spherized	all_data
adatanserin	5	0.04 uM	0.554	-0.0017159850589619	Cell Painting	non_spherized	all_data
adenosine	4	0.04 uM	0.497	0.0088985219685335	Cell Painting	non_spherized	all_data
adoprazine	5	0.04 uM	0.545	0.0022487469918203	Cell Painting	non_spherized	all_data
afatinib	5	0.04 uM	0.549	0.0016804199472246	Cell Painting	non_spherized	all_data
afloqualone	5	0.04 uM	0.552	-0.0001334064198788	Cell Painting	non_spherized	all_data
agi-5198	5	0.04 uM	0.552	7.832526472542731e-05	Cell Painting	non_spherized	all_data
agi-6780	5	0.04 uM	0.107	0.1667332150045739	Cell Painting	non_spherized	all_data
agomelatine	5	0.04 uM	0.448	0.0269247399025253	Cell Painting	non_spherized	all_data
agp-103	5	0.04 uM	0.543	0.0035160400195786	Cell Painting	non_spherized	all_data
alaproclate	5	0.04 uM	0.357	0.0514368825914907	Cell Painting	non_spherized	all_data
