compound	no_of_replicates	dose	p_value	matching_score	assay	normalization	category
17-hydroxyprogesterone-caproate	5	0.04 uM	0.001	0.0545573852235551	Cell Painting	spherized	all_data
2-iminobiotin	5	0.04 uM	0.001	0.0537909563263734	Cell Painting	spherized	all_data
3-amino-benzamide	5	0.04 uM	0.0	0.1119327650969594	Cell Painting	spherized	all_data
3-deazaadenosine	5	0.04 uM	0.195	0.0157540119375704	Cell Painting	spherized	all_data
abacavir	5	0.04 uM	0.199	0.0156780856666056	Cell Painting	spherized	all_data
abiraterone-acetate	5	0.04 uM	0.0	0.1244033468763347	Cell Painting	spherized	all_data
abt-202	5	0.04 uM	0.081	0.0246796124781858	Cell Painting	spherized	all_data
abt-239	5	0.04 uM	0.0	0.0700028541026345	Cell Painting	spherized	all_data
abt-724	5	0.04 uM	0.283	0.0107627782490061	Cell Painting	spherized	all_data
acarbose	4	0.04 uM	0.003	0.0557225421329439	Cell Painting	spherized	all_data
acebutolol	5	0.04 uM	0.0	0.065699198986284	Cell Painting	spherized	all_data
acecainide	5	0.04 uM	0.002	0.0499444286724396	Cell Painting	spherized	all_data
acenocoumarol	5	0.04 uM	0.001	0.0551523101370631	Cell Painting	spherized	all_data
acetazolamide	2	0.04 uM	0.016	0.100879435018505	Cell Painting	spherized	all_data
acetylcysteine	5	0.04 uM	0.002	0.0491956414454851	Cell Painting	spherized	all_data
acexamic-acid	5	0.04 uM	0.001	0.0536173483496527	Cell Painting	spherized	all_data
acifran	5	0.04 uM	0.065	0.026791398229582	Cell Painting	spherized	all_data
acipimox	5	0.04 uM	0.311	0.0095737014253175	Cell Painting	spherized	all_data
acivicin	5	0.04 uM	0.0	0.0994636803696727	Cell Painting	spherized	all_data
actarit	5	0.04 uM	0.026	0.0347090593529701	Cell Painting	spherized	all_data
acy-1215	5	0.04 uM	0.0	0.0673067601139121	Cell Painting	spherized	all_data
adapalene	5	0.04 uM	0.0	0.1673368330002298	Cell Painting	spherized	all_data
adatanserin	5	0.04 uM	0.0	0.0788686065755054	Cell Painting	spherized	all_data
adenosine	4	0.04 uM	0.338	0.0098826263848833	Cell Painting	spherized	all_data
adoprazine	5	0.04 uM	0.0	0.1036412789496158	Cell Painting	spherized	all_data
afatinib	5	0.04 uM	0.0	0.1108570436479987	Cell Painting	spherized	all_data
afloqualone	5	0.04 uM	0.031	0.0323784174845563	Cell Painting	spherized	all_data
agi-5198	5	0.04 uM	0.0	0.0716309782363705	Cell Painting	spherized	all_data
agi-6780	5	0.04 uM	0.388	0.0063990784921024	Cell Painting	spherized	all_data
agomelatine	5	0.04 uM	0.028	0.0335088296594167	Cell Painting	spherized	all_data
agp-103	5	0.04 uM	0.36	0.0075646348909057	Cell Painting	spherized	all_data
alaproclate	5	0.04 uM	0.017	0.0382078656566186	Cell Painting	spherized	all_data
alisertib	5	0.04 uM	0.0	0.3170913259173754	Cell Painting	spherized	all_data
aliskiren	5	0.04 uM	0.133	0.0193177399042178	Cell Painting	spherized	all_data
alizapride	4	0.04 uM	0.003	0.055621829621285	Cell Painting	spherized	all_data
allopurinol	5	0.04 uM	0.0	0.0642615499052557	Cell Painting	spherized	all_data
almitrine	5	0.04 uM	0.0	0.0943863994376786	Cell Painting	spherized	all_data
almorexant	5	0.04 uM	0.0	0.0987037445028826	Cell Painting	spherized	all_data
altanserin	4	0.04 uM	0.014	0.0490707484194245	Cell Painting	spherized	all_data
altrenogest	5	0.04 uM	0.0	0.209038477317295	Cell Painting	spherized	all_data
altretamine	5	0.04 uM	0.0	0.1395633384489448	Cell Painting	spherized	all_data
alvocidib	5	0.04 uM	0.0	0.1724687862706212	Cell Painting	spherized	all_data
am-24	5	0.04 uM	0.001	0.0543246635253709	Cell Painting	spherized	all_data
amantadine	5	0.04 uM	0.0	0.1117094826994045	Cell Painting	spherized	all_data
ambrisentan	2	0.04 uM	0.528	-0.0001519409689981	Cell Painting	spherized	all_data
ambroxol	5	0.04 uM	0.0	0.1225331709659689	Cell Painting	spherized	all_data
amd11070	2	0.04 uM	0.242	0.0320785375851837	Cell Painting	spherized	all_data
amg-208	5	0.04 uM	0.048	0.0295518538593358	Cell Painting	spherized	all_data
amg-232	5	0.04 uM	0.007	0.0453388834260844	Cell Painting	spherized	all_data
amiloride	5	0.04 uM	0.23	0.0133785767267027	Cell Painting	spherized	all_data
aminocaproic-acid	5	0.04 uM	0.149	0.018206863932895	Cell Painting	spherized	all_data
aminoglutethimide	5	0.04 uM	0.0	0.0747171918404356	Cell Painting	spherized	all_data
aminolevulinic-acid	5	0.04 uM	0.011	0.0425211307220216	Cell Painting	spherized	all_data
aminosalicylic-acid	5	0.04 uM	0.001	0.0543838065282789	Cell Painting	spherized	all_data
amiodarone	5	0.04 uM	0.017	0.038471676748852	Cell Painting	spherized	all_data
amiprilose	5	0.04 uM	0.002	0.0528457068175979	Cell Painting	spherized	all_data
amitifadine	5	0.04 uM	0.043	0.0303817034293152	Cell Painting	spherized	all_data
