compound	no_of_replicates	dose	p_value	matching_score	assay	normalization	category
17-hydroxyprogesterone-caproate	3	0.04 uM	0.424	0.0087962544637254	Cell Painting	spherized	subsampled
2-iminobiotin	2	0.04 uM	0.149	0.0518171320035363	Cell Painting	spherized	subsampled
3-amino-benzamide	3	0.04 uM	0.0	0.1117639404153993	Cell Painting	spherized	subsampled
3-deazaadenosine	2	0.04 uM	0.488	0.0074059429091045	Cell Painting	spherized	subsampled
abacavir	3	0.04 uM	0.0	0.088247036277408	Cell Painting	spherized	subsampled
abiraterone-acetate	3	0.04 uM	0.011	0.0673216043166628	Cell Painting	spherized	subsampled
abt-202	3	0.04 uM	0.216	0.0255610054445072	Cell Painting	spherized	subsampled
abt-239	3	0.04 uM	0.077	0.0453533891490332	Cell Painting	spherized	subsampled
abt-724	3	0.04 uM	0.093	0.0419692182891417	Cell Painting	spherized	subsampled
acarbose	3	0.04 uM	0.195	0.0270790257403963	Cell Painting	spherized	subsampled
acebutolol	2	0.04 uM	0.626	-0.0095973606305964	Cell Painting	spherized	subsampled
acecainide	3	0.04 uM	0.124	0.0364593416308764	Cell Painting	spherized	subsampled
acenocoumarol	3	0.04 uM	0.0	0.0852149707824432	Cell Painting	spherized	subsampled
acetazolamide	2	0.04 uM	0.029	0.100879435018505	Cell Painting	spherized	subsampled
acetylcysteine	3	0.04 uM	0.0	0.086448633919405	Cell Painting	spherized	subsampled
acexamic-acid	3	0.04 uM	0.0	0.0863122024238754	Cell Painting	spherized	subsampled
acifran	2	0.04 uM	0.859	-0.0369988261500013	Cell Painting	spherized	subsampled
acipimox	3	0.04 uM	0.918	-0.0354491206231022	Cell Painting	spherized	subsampled
acivicin	3	0.04 uM	0.033	0.058144596316846	Cell Painting	spherized	subsampled
aclidinium	2	0.04 uM	0.037	0.0911401776072703	Cell Painting	spherized	subsampled
acrivastine	3	0.04 uM	0.122	0.0366318716284495	Cell Painting	spherized	subsampled
actarit	3	0.04 uM	0.46	0.0057655941788546	Cell Painting	spherized	subsampled
acy-1215	2	0.04 uM	0.13	0.0564882676079292	Cell Painting	spherized	subsampled
adapalene	3	0.04 uM	0.0	0.2104860710072942	Cell Painting	spherized	subsampled
adarotene	3	0.04 uM	0.021	0.0621367683512166	Cell Painting	spherized	subsampled
adatanserin	3	0.04 uM	0.004	0.0752469748988133	Cell Painting	spherized	subsampled
adenosine	3	0.04 uM	0.062	0.0486998345323335	Cell Painting	spherized	subsampled
adoprazine	3	0.04 uM	0.018	0.0637788117431198	Cell Painting	spherized	subsampled
afatinib	2	0.04 uM	0.042	0.0884094971190618	Cell Painting	spherized	subsampled
afloqualone	3	0.04 uM	0.09	0.042443191369444	Cell Painting	spherized	subsampled
agi-5198	3	0.04 uM	0.074	0.0457766282117799	Cell Painting	spherized	subsampled
