compound	no_of_replicates	dose	matching_score	assay	normalization	category
arglabin	5	0.04 uM	0.5016023357607557	Cell Painting	non_spherized	all_data
aripiprazole	5	0.04 uM	0.3342300058725179	Cell Painting	non_spherized	all_data
arofylline	5	0.04 uM	0.3090678504357365	Cell Painting	non_spherized	all_data
arry-334543	5	0.04 uM	0.3219393311468714	Cell Painting	non_spherized	all_data
artesunate	5	0.04 uM	0.4477450901211302	Cell Painting	non_spherized	all_data
asa-404	5	0.04 uM	0.4640752273997126	Cell Painting	non_spherized	all_data
asc-j9	5	0.04 uM	0.2205914849835201	Cell Painting	non_spherized	all_data
asenapine	5	0.04 uM	0.3089648822765016	Cell Painting	non_spherized	all_data
aspirin	5	0.04 uM	0.4807708100515107	Cell Painting	non_spherized	all_data
at13387	5	0.04 uM	0.916370735620594	Cell Painting	non_spherized	all_data
ataluren	5	0.04 uM	0.5729240946325156	Cell Painting	non_spherized	all_data
atenolol	5	0.04 uM	0.1452476890518135	Cell Painting	non_spherized	all_data
atipamezole	2	0.04 uM	-0.1282153583203077	Cell Painting	non_spherized	all_data
atn-161	4	0.04 uM	0.1505498281251171	Cell Painting	non_spherized	all_data
atomoxetine	5	0.04 uM	0.5944093245625559	Cell Painting	non_spherized	all_data
atorvastatin	5	0.04 uM	0.0663366500425535	Cell Painting	non_spherized	all_data
atracurium	5	0.04 uM	0.2761800811988973	Cell Painting	non_spherized	all_data
atrasentan	5	0.04 uM	0.5096921653075813	Cell Painting	non_spherized	all_data
av-608	5	0.04 uM	0.2512588736103746	Cell Painting	non_spherized	all_data
avagacestat	5	0.04 uM	0.4427640170287031	Cell Painting	non_spherized	all_data
avanafil	5	0.04 uM	0.3922824074608589	Cell Painting	non_spherized	all_data
avasimibe	5	0.04 uM	0.4750703877586358	Cell Painting	non_spherized	all_data
avl-292	5	0.04 uM	0.4947897649201744	Cell Painting	non_spherized	all_data
avn-944	5	0.04 uM	0.5526870618667374	Cell Painting	non_spherized	all_data
azacitidine	5	0.04 uM	0.3745087109421072	Cell Painting	non_spherized	all_data
azathioprine	5	0.04 uM	0.3844272983364734	Cell Painting	non_spherized	all_data
azd1208	5	0.04 uM	0.5847034074781532	Cell Painting	non_spherized	all_data
azd1480	5	0.04 uM	0.4772054831601573	Cell Painting	non_spherized	all_data
azd1981	5	0.04 uM	0.368491615345801	Cell Painting	non_spherized	all_data
azd2014	5	0.04 uM	0.2884854889472802	Cell Painting	non_spherized	all_data
azd3514	5	0.04 uM	0.3652113913360117	Cell Painting	non_spherized	all_data
azd4547	5	0.04 uM	0.1146837825804747	Cell Painting	non_spherized	all_data
azd5363	5	0.04 uM	0.2497932905976053	Cell Painting	non_spherized	all_data
azd7545	5	0.04 uM	0.1730374048488729	Cell Painting	non_spherized	all_data
azd7687	5	0.04 uM	0.0932535988383457	Cell Painting	non_spherized	all_data
azd7762	5	0.04 uM	0.4911676617078943	Cell Painting	non_spherized	all_data
azd8931	5	0.04 uM	0.6115381087983888	Cell Painting	non_spherized	all_data
azd9668	5	0.04 uM	0.0165026095430786	Cell Painting	non_spherized	all_data
azelaic-acid	5	0.04 uM	0.1322652224299787	Cell Painting	non_spherized	all_data
azelastine	5	0.04 uM	0.3914978145535215	Cell Painting	non_spherized	all_data
balaglitazone	4	0.04 uM	0.1083274219312881	Cell Painting	non_spherized	all_data
balapiravir	5	0.04 uM	0.48813632401038	Cell Painting	non_spherized	all_data
balicatib	5	0.04 uM	0.7550760539949399	Cell Painting	non_spherized	all_data
balsalazide	2	0.04 uM	-0.3113804134106639	Cell Painting	non_spherized	all_data
bambuterol	5	0.04 uM	0.3609141605178141	Cell Painting	non_spherized	all_data
bardoxolone-methyl	5	0.04 uM	0.538417882348654	Cell Painting	non_spherized	all_data
basimglurant	5	0.04 uM	0.2572670251348001	Cell Painting	non_spherized	all_data
batimastat	5	0.04 uM	0.68284128094217	Cell Painting	non_spherized	all_data
bavisant	5	0.04 uM	0.1279994475068654	Cell Painting	non_spherized	all_data
bay-87-2243	5	0.04 uM	0.8561748815480963	Cell Painting	non_spherized	all_data
bazedoxifene	5	0.04 uM	0.3433596461465299	Cell Painting	non_spherized	all_data
bci-540	5	0.04 uM	0.4191533623792532	Cell Painting	non_spherized	all_data
beclomethasone-dipropionate	5	0.04 uM	0.7901092590715455	Cell Painting	non_spherized	all_data
belinostat	5	0.04 uM	0.6469417072181632	Cell Painting	non_spherized	all_data
bemegride	5	0.04 uM	0.4037682000218889	Cell Painting	non_spherized	all_data
benazepril	5	0.04 uM	0.1951642714397927	Cell Painting	non_spherized	all_data
bendamustine	5	0.04 uM	0.3110891598186815	Cell Painting	non_spherized	all_data
bendroflumethiazide	5	0.04 uM	0.0502240744109334	Cell Painting	non_spherized	all_data
benzbromarone	5	0.04 uM	0.7603416163024848	Cell Painting	non_spherized	all_data
benzthiazide	5	0.04 uM	0.3296609593490817	Cell Painting	non_spherized	all_data
benzydamine	5	0.04 uM	0.4478489332122349	Cell Painting	non_spherized	all_data
benzylpenicillin	5	0.04 uM	0.4386875849528885	Cell Painting	non_spherized	all_data
bepotastine	5	0.04 uM	0.2628646936012878	Cell Painting	non_spherized	all_data
berberine	5	0.04 uM	0.4032097906430152	Cell Painting	non_spherized	all_data
betahistine	5	0.04 uM	0.2163802720052293	Cell Painting	non_spherized	all_data
betulinic-acid	2	0.04 uM	0.0616471879503672	Cell Painting	non_spherized	all_data
bevirimat-dimeglumine	5	0.04 uM	0.3300807189459542	Cell Painting	non_spherized	all_data
bexarotene	5	0.04 uM	0.2873628508313011	Cell Painting	non_spherized	all_data
bezafibrate	5	0.04 uM	0.4354469792484337	Cell Painting	non_spherized	all_data
bicalutamide	5	0.04 uM	0.2388024467616317	Cell Painting	non_spherized	all_data
bifemelane	5	0.04 uM	0.6174525318066169	Cell Painting	non_spherized	all_data
bifonazole	5	0.04 uM	0.4504879974423617	Cell Painting	non_spherized	all_data
bimatoprost	5	0.04 uM	0.3181045168868529	Cell Painting	non_spherized	all_data
bindarit	5	0.04 uM	0.5269542566879386	Cell Painting	non_spherized	all_data
biperiden	4	0.04 uM	0.1755759762091226	Cell Painting	non_spherized	all_data
birinapant	5	0.04 uM	0.123359740855885	Cell Painting	non_spherized	all_data
bisindolylmaleimide	5	0.04 uM	0.4707654504897194	Cell Painting	non_spherized	all_data
bisoprolol	5	0.04 uM	0.1545901086249297	Cell Painting	non_spherized	all_data
bitopertin	5	0.04 uM	0.2551076423818619	Cell Painting	non_spherized	all_data
blonanserin	5	0.04 uM	0.2787349059344515	Cell Painting	non_spherized	all_data
bms-599626	5	0.04 uM	0.2709176632579191	Cell Painting	non_spherized	all_data
bms-707035	5	0.04 uM	0.265428973086438	Cell Painting	non_spherized	all_data
bms-927711	5	0.04 uM	0.250008069656344	Cell Painting	non_spherized	all_data
bopindolol	5	0.04 uM	0.5404500498850647	Cell Painting	non_spherized	all_data
bortezomib	5	0.04 uM	0.8798282943314644	Cell Painting	non_spherized	all_data
bosentan	5	0.04 uM	0.4965347240015979	Cell Painting	non_spherized	all_data
bosutinib	5	0.04 uM	0.4758474989768613	Cell Painting	non_spherized	all_data
brequinar	5	0.04 uM	0.2146121053048663	Cell Painting	non_spherized	all_data
bretazenil	5	0.04 uM	0.1757698354447949	Cell Painting	non_spherized	all_data
brexpiprazole	4	0.04 uM	0.032845606263094	Cell Painting	non_spherized	all_data
brivanib	5	0.04 uM	0.1979230248320095	Cell Painting	non_spherized	all_data
brivudine	5	0.04 uM	0.3000606774864289	Cell Painting	non_spherized	all_data
bromocriptine	5	0.04 uM	0.1947568844008403	Cell Painting	non_spherized	all_data
broxuridine	5	0.04 uM	0.6562181818352189	Cell Painting	non_spherized	all_data
bruceantin	5	0.04 uM	0.8188347847114351	Cell Painting	non_spherized	all_data
bts-54505	5	0.04 uM	0.0635135427722062	Cell Painting	non_spherized	all_data
bucladesine	5	0.04 uM	0.8021867674254981	Cell Painting	non_spherized	all_data
budipine	5	0.04 uM	0.2322560200533566	Cell Painting	non_spherized	all_data
bumetanide	5	0.04 uM	0.2703054078091529	Cell Painting	non_spherized	all_data
bupivacaine	4	0.04 uM	0.2051923282717393	Cell Painting	non_spherized	all_data
bupropion	5	0.04 uM	0.5271438136203228	Cell Painting	non_spherized	all_data
buspirone	5	0.04 uM	0.3064344923449694	Cell Painting	non_spherized	all_data
butoconazole	5	0.04 uM	0.2936353591276553	Cell Painting	non_spherized	all_data
butorphanol-(+)-tartrate	2	0.04 uM	-0.1004150005520255	Cell Painting	non_spherized	all_data
bvd-523	5	0.04 uM	0.1562485015754382	Cell Painting	non_spherized	all_data
cabazitaxel	5	0.04 uM	0.736387652387392	Cell Painting	non_spherized	all_data
cabergoline	5	0.04 uM	0.785151288793698	Cell Painting	non_spherized	all_data
cabozantinib	5	0.04 uM	0.2155579888055948	Cell Painting	non_spherized	all_data
caffeine	4	0.04 uM	0.1368599713849726	Cell Painting	non_spherized	all_data
calcitriol	5	0.04 uM	0.5499494155997053	Cell Painting	non_spherized	all_data
camicinal	5	0.04 uM	0.1168202278359789	Cell Painting	non_spherized	all_data
camptothecin	2	0.04 uM	0.7495247420878639	Cell Painting	non_spherized	all_data
canagliflozin	5	0.04 uM	0.0561385811846909	Cell Painting	non_spherized	all_data
candesartan	5	0.04 uM	0.3085596933672916	Cell Painting	non_spherized	all_data
canertinib	5	0.04 uM	0.2550290345245189	Cell Painting	non_spherized	all_data
canrenoic-acid	5	0.04 uM	0.5480731288119711	Cell Painting	non_spherized	all_data
capecitabine	5	0.04 uM	0.2970191275402845	Cell Painting	non_spherized	all_data
capsaicin	5	0.04 uM	0.3962927251425271	Cell Painting	non_spherized	all_data
carbachol	5	0.04 uM	0.1601550197538618	Cell Painting	non_spherized	all_data
carbamazepine	5	0.04 uM	0.4396678801417495	Cell Painting	non_spherized	all_data
carbenoxolone	5	0.04 uM	0.4879702507611089	Cell Painting	non_spherized	all_data
carbimazole	5	0.04 uM	0.4206825348034894	Cell Painting	non_spherized	all_data
carglumic-acid	5	0.04 uM	0.4561202256726832	Cell Painting	non_spherized	all_data
cariprazine	5	0.04 uM	0.2226511300131639	Cell Painting	non_spherized	all_data
carisoprodol	5	0.04 uM	0.1368992735079129	Cell Painting	non_spherized	all_data
carprofen	5	0.04 uM	0.3313285061153297	Cell Painting	non_spherized	all_data
carvedilol	5	0.04 uM	0.3572389504240325	Cell Painting	non_spherized	all_data
cb-10-277-(free-acid)	5	0.04 uM	0.2440870950742023	Cell Painting	non_spherized	all_data
cc-401	5	0.04 uM	0.3131999676198277	Cell Painting	non_spherized	all_data
cc-930	5	0.04 uM	0.3400175908313076	Cell Painting	non_spherized	all_data
cediranib	5	0.04 uM	0.292957053104159	Cell Painting	non_spherized	all_data
cefdinir	5	0.04 uM	0.4445494955447384	Cell Painting	non_spherized	all_data
cefepime	5	0.04 uM	0.4993458997191974	Cell Painting	non_spherized	all_data
cefoperazone	4	0.04 uM	0.3456743819621983	Cell Painting	non_spherized	all_data
cefotetan	5	0.04 uM	0.0592579309215998	Cell Painting	non_spherized	all_data
cefozopran	5	0.04 uM	0.3444674970795818	Cell Painting	non_spherized	all_data
celecoxib	4	0.04 uM	0.134232439156951	Cell Painting	non_spherized	all_data
cep-37440	5	0.04 uM	0.0451607590376575	Cell Painting	non_spherized	all_data
cepharanthine	5	0.04 uM	0.2246048854584447	Cell Painting	non_spherized	all_data
cgp12177	2	0.04 uM	0.1169347173280408	Cell Painting	non_spherized	all_data
chlorambucil	5	0.04 uM	0.3401662839716433	Cell Painting	non_spherized	all_data
chlormezanone	5	0.04 uM	0.1174286913550871	Cell Painting	non_spherized	all_data
chloroxine	5	0.04 uM	0.3320567832176678	Cell Painting	non_spherized	all_data
chlorphenamine	5	0.04 uM	0.3517442029868812	Cell Painting	non_spherized	all_data
chlorpromazine	5	0.04 uM	0.325198067532729	Cell Painting	non_spherized	all_data
chlorpropamide	5	0.04 uM	0.5180030380697263	Cell Painting	non_spherized	all_data
chlortalidone	5	0.04 uM	-0.0302106643174799	Cell Painting	non_spherized	all_data
cholic-acid	2	0.04 uM	0.2754264642066269	Cell Painting	non_spherized	all_data
choline-alfoscerate	5	0.04 uM	0.339890299457989	Cell Painting	non_spherized	all_data
cianidanol	5	0.04 uM	0.3178245496997608	Cell Painting	non_spherized	all_data
ciclesonide	5	0.04 uM	0.7183608506943718	Cell Painting	non_spherized	all_data
ciglitazone	5	0.04 uM	0.0633553184277789	Cell Painting	non_spherized	all_data
cilengitide	5	0.04 uM	0.1184342132096854	Cell Painting	non_spherized	all_data
cilomilast	2	0.04 uM	-0.0701384247684379	Cell Painting	non_spherized	all_data
cilostazol	5	0.04 uM	0.5602640531612193	Cell Painting	non_spherized	all_data
cimetidine	5	0.04 uM	0.3808612337704792	Cell Painting	non_spherized	all_data
cinaciguat	5	0.04 uM	0.8545092893328012	Cell Painting	non_spherized	all_data
cinepazide	5	0.04 uM	0.2821784564592157	Cell Painting	non_spherized	all_data
cinnarizine	5	0.04 uM	-0.1195999975132098	Cell Painting	non_spherized	all_data
cinoxacin	5	0.04 uM	0.4853556820843858	Cell Painting	non_spherized	all_data
ciprofloxacin	5	0.04 uM	0.1443057014060754	Cell Painting	non_spherized	all_data
cisapride	5	0.04 uM	0.6151800648176469	Cell Painting	non_spherized	all_data
citalopram	5	0.04 uM	0.1251881051860128	Cell Painting	non_spherized	all_data
cladribine	5	0.04 uM	0.5312892870771977	Cell Painting	non_spherized	all_data
clarithromycin	5	0.04 uM	0.4978753660848976	Cell Painting	non_spherized	all_data
clenbuterol	5	0.04 uM	0.4551911697680783	Cell Painting	non_spherized	all_data
climbazole	5	0.04 uM	0.212597080031088	Cell Painting	non_spherized	all_data
clinafloxacin	5	0.04 uM	0.3481662045057974	Cell Painting	non_spherized	all_data
clindamycin	5	0.04 uM	0.5177920980082331	Cell Painting	non_spherized	all_data
clinofibrate	5	0.04 uM	0.141251982954127	Cell Painting	non_spherized	all_data
clioquinol	5	0.04 uM	0.4470111679217215	Cell Painting	non_spherized	all_data
clobetasol	5	0.04 uM	0.7326852724557154	Cell Painting	non_spherized	all_data
clofarabine	5	0.04 uM	0.6479156717502106	Cell Painting	non_spherized	all_data
clofazimine	5	0.04 uM	0.1091998263893392	Cell Painting	non_spherized	all_data
clofibric-acid	5	0.04 uM	0.1318023167109981	Cell Painting	non_spherized	all_data
clofoctol	4	0.04 uM	0.2678980203862091	Cell Painting	non_spherized	all_data
clomethiazole	5	0.04 uM	0.1074574324642972	Cell Painting	non_spherized	all_data
clomifene	5	0.04 uM	0.3661149017327209	Cell Painting	non_spherized	all_data
clonazepam	2	0.04 uM	0.4488771838854022	Cell Painting	non_spherized	all_data
clonidine	5	0.04 uM	0.2588364265265122	Cell Painting	non_spherized	all_data
clotrimazole	5	0.04 uM	0.4588838305316255	Cell Painting	non_spherized	all_data
clozapine	2	0.04 uM	0.5991060994260443	Cell Painting	non_spherized	all_data
co-102862	5	0.04 uM	0.1586172569321551	Cell Painting	non_spherized	all_data
cobimetinib	4	0.04 uM	0.3203244035339946	Cell Painting	non_spherized	all_data
colchicine	4	0.04 uM	0.6273984404693805	Cell Painting	non_spherized	all_data
colforsin-daproate	5	0.04 uM	0.3673512829515984	Cell Painting	non_spherized	all_data
combretastatin-a-4	5	0.04 uM	0.8310596756596533	Cell Painting	non_spherized	all_data
conivaptan	2	0.04 uM	0.3154493429198112	Cell Painting	non_spherized	all_data
cordycepin	5	0.04 uM	0.2126926694835542	Cell Painting	non_spherized	all_data
cp-945,598	5	0.04 uM	0.4148767910268314	Cell Painting	non_spherized	all_data
cpi-1189	5	0.04 uM	0.3792754959805521	Cell Painting	non_spherized	all_data
cpi-613	5	0.04 uM	0.1900668069235867	Cell Painting	non_spherized	all_data
cromoglicic-acid	5	0.04 uM	0.3312652020829839	Cell Painting	non_spherized	all_data
ct-7758	5	0.04 uM	0.3726311894868411	Cell Painting	non_spherized	all_data
cts-1027	5	0.04 uM	0.7924468636559798	Cell Painting	non_spherized	all_data
curcumin	5	0.04 uM	0.3531900371056897	Cell Painting	non_spherized	all_data
cx-4945	5	0.04 uM	0.153820736725582	Cell Painting	non_spherized	all_data
cx-5461	5	0.04 uM	0.555013223503249	Cell Painting	non_spherized	all_data
cx516	5	0.04 uM	0.3747304594548701	Cell Painting	non_spherized	all_data
cyanocobalamin	5	0.04 uM	0.7903038328693546	Cell Painting	non_spherized	all_data
cyclizine	5	0.04 uM	0.0428840625422341	Cell Painting	non_spherized	all_data
cyclobenzaprine	2	0.04 uM	0.2013599533724468	Cell Painting	non_spherized	all_data
cyclosporin-a	5	0.04 uM	0.6645224880202785	Cell Painting	non_spherized	all_data
cyproheptadine	5	0.04 uM	0.4354434463652675	Cell Painting	non_spherized	all_data
cyproterone-acetate	5	0.04 uM	0.4500629138382051	Cell Painting	non_spherized	all_data
cytarabine	5	0.04 uM	0.1929872411676259	Cell Painting	non_spherized	all_data
cytisine	5	0.04 uM	0.520510591812664	Cell Painting	non_spherized	all_data
d-serine	5	0.04 uM	-0.0031240272626133	Cell Painting	non_spherized	all_data
dabigatran-etexilate	5	0.04 uM	0.2217626658362059	Cell Painting	non_spherized	all_data
dabrafenib	5	0.04 uM	0.3602858843543802	Cell Painting	non_spherized	all_data
dacarbazine	5	0.04 uM	0.1685847347079431	Cell Painting	non_spherized	all_data
dacinostat	5	0.04 uM	0.7638057430666797	Cell Painting	non_spherized	all_data
dacomitinib	5	0.04 uM	0.3925385426648272	Cell Painting	non_spherized	all_data
danazol	5	0.04 uM	0.4981571752158131	Cell Painting	non_spherized	all_data
danegaptide	5	0.04 uM	0.2304940006586744	Cell Painting	non_spherized	all_data
dantrolene	5	0.04 uM	0.4296469832769436	Cell Painting	non_spherized	all_data
danusertib	5	0.04 uM	0.4975104448544594	Cell Painting	non_spherized	all_data
dapagliflozin	5	0.04 uM	0.0406826083279351	Cell Painting	non_spherized	all_data
dapivirine	5	0.04 uM	0.5947259426092262	Cell Painting	non_spherized	all_data
dapsone	5	0.04 uM	0.5466956989374688	Cell Painting	non_spherized	all_data
darifenacin	5	0.04 uM	0.0341002155616935	Cell Painting	non_spherized	all_data
darunavir	5	0.04 uM	0.1951120865905237	Cell Painting	non_spherized	all_data
dasabuvir	4	0.04 uM	0.0632080633183009	Cell Painting	non_spherized	all_data
dasatinib	5	0.04 uM	0.590247903962756	Cell Painting	non_spherized	all_data
dazoxiben	5	0.04 uM	0.3851471355844097	Cell Painting	non_spherized	all_data
decitabine	5	0.04 uM	0.2944322145956971	Cell Painting	non_spherized	all_data
defactinib	2	0.04 uM	0.1283441685187399	Cell Painting	non_spherized	all_data
deferasirox	5	0.04 uM	0.4547587952773289	Cell Painting	non_spherized	all_data
deferiprone	5	0.04 uM	0.3175385642578546	Cell Painting	non_spherized	all_data
deforolimus	5	0.04 uM	0.8757262465658375	Cell Painting	non_spherized	all_data
dehydroepiandrosterone	5	0.04 uM	0.2885801993064824	Cell Painting	non_spherized	all_data
delanzomib	5	0.04 uM	0.918260053041176	Cell Painting	non_spherized	all_data
delivert	5	0.04 uM	0.2015146768530553	Cell Painting	non_spherized	all_data
deoxycholic-acid	5	0.04 uM	0.143279812289282	Cell Painting	non_spherized	all_data
dequalinium	5	0.04 uM	0.503706468826524	Cell Painting	non_spherized	all_data
desmopressin-acetate	5	0.04 uM	0.4292265942887366	Cell Painting	non_spherized	all_data
dexamethasone	10	0.04 uM	0.6833140392748464	Cell Painting	non_spherized	all_data
dexfenfluramine	5	0.04 uM	0.3367120670834146	Cell Painting	non_spherized	all_data
dexloxiglumide	5	0.04 uM	0.4161431006558715	Cell Painting	non_spherized	all_data
dexniguldipine	2	0.04 uM	0.0431745682479898	Cell Painting	non_spherized	all_data
dextromethorphan	5	0.04 uM	0.367569572405528	Cell Painting	non_spherized	all_data
diacerein	5	0.04 uM	0.0824147257166621	Cell Painting	non_spherized	all_data
