compound	no_of_replicates	dose	matching_score	assay	normalization	category
17-hydroxyprogesterone-caproate	5	0.04 uM	0.5111331995310089	Cell Painting	non_spherized	all_data
2-iminobiotin	5	0.04 uM	0.1238004626822545	Cell Painting	non_spherized	all_data
3-amino-benzamide	5	0.04 uM	0.4210042695678706	Cell Painting	non_spherized	all_data
3-deazaadenosine	5	0.04 uM	0.0779820435795266	Cell Painting	non_spherized	all_data
abacavir	5	0.04 uM	0.2365102062060144	Cell Painting	non_spherized	all_data
abiraterone-acetate	5	0.04 uM	0.3995958994090483	Cell Painting	non_spherized	all_data
abt-202	5	0.04 uM	0.1089288536637366	Cell Painting	non_spherized	all_data
abt-239	5	0.04 uM	0.4762890100093821	Cell Painting	non_spherized	all_data
abt-724	5	0.04 uM	0.3276244996806087	Cell Painting	non_spherized	all_data
acarbose	4	0.04 uM	0.1558619280837856	Cell Painting	non_spherized	all_data
acebutolol	5	0.04 uM	0.324914296707981	Cell Painting	non_spherized	all_data
acecainide	5	0.04 uM	0.6435703068604508	Cell Painting	non_spherized	all_data
acenocoumarol	5	0.04 uM	0.306763428226649	Cell Painting	non_spherized	all_data
acetazolamide	2	0.04 uM	0.6082032795691512	Cell Painting	non_spherized	all_data
acetylcysteine	5	0.04 uM	0.2939153243578397	Cell Painting	non_spherized	all_data
acexamic-acid	5	0.04 uM	0.2824790528741941	Cell Painting	non_spherized	all_data
acifran	5	0.04 uM	0.1991843542812113	Cell Painting	non_spherized	all_data
acipimox	5	0.04 uM	0.0417716532087003	Cell Painting	non_spherized	all_data
acivicin	5	0.04 uM	0.4920624981936761	Cell Painting	non_spherized	all_data
aclidinium	5	0.04 uM	0.2117211956062192	Cell Painting	non_spherized	all_data
acrivastine	5	0.04 uM	0.3839863566966199	Cell Painting	non_spherized	all_data
actarit	5	0.04 uM	0.2034193450114231	Cell Painting	non_spherized	all_data
acy-1215	5	0.04 uM	0.2372504584103259	Cell Painting	non_spherized	all_data
adapalene	5	0.04 uM	0.3582552095727612	Cell Painting	non_spherized	all_data
adarotene	4	0.04 uM	0.2680708276713011	Cell Painting	non_spherized	all_data
adatanserin	5	0.04 uM	0.1533355848249079	Cell Painting	non_spherized	all_data
adenosine	4	0.04 uM	0.298182501727099	Cell Painting	non_spherized	all_data
adoprazine	5	0.04 uM	0.466691045324741	Cell Painting	non_spherized	all_data
afatinib	5	0.04 uM	0.3968361831389225	Cell Painting	non_spherized	all_data
afloqualone	5	0.04 uM	0.4127889022626163	Cell Painting	non_spherized	all_data
agi-5198	5	0.04 uM	0.1839721423707564	Cell Painting	non_spherized	all_data
agi-6780	5	0.04 uM	0.1806765450131977	Cell Painting	non_spherized	all_data
agomelatine	5	0.04 uM	0.220111040336103	Cell Painting	non_spherized	all_data
agp-103	5	0.04 uM	0.16403788280455	Cell Painting	non_spherized	all_data
alaproclate	5	0.04 uM	0.0938733400742959	Cell Painting	non_spherized	all_data
albendazole	5	0.04 uM	0.1291448331049987	Cell Painting	non_spherized	all_data
alectinib	5	0.04 uM	0.1460671166325682	Cell Painting	non_spherized	all_data
alisertib	5	0.04 uM	0.4760967346364333	Cell Painting	non_spherized	all_data
aliskiren	5	0.04 uM	0.0614517604441979	Cell Painting	non_spherized	all_data
alizapride	4	0.04 uM	0.2534393486695141	Cell Painting	non_spherized	all_data
allopurinol	5	0.04 uM	0.3705121695375025	Cell Painting	non_spherized	all_data
almitrine	5	0.04 uM	0.3600270038992842	Cell Painting	non_spherized	all_data
almorexant	5	0.04 uM	0.5655835861405785	Cell Painting	non_spherized	all_data
altanserin	4	0.04 uM	0.2953239058417665	Cell Painting	non_spherized	all_data
altrenogest	5	0.04 uM	0.5153082418562375	Cell Painting	non_spherized	all_data
altretamine	5	0.04 uM	0.4931704946855196	Cell Painting	non_spherized	all_data
alvespimycin	5	0.04 uM	0.9299982161493792	Cell Painting	non_spherized	all_data
alvimopan	5	0.04 uM	0.7984900569644426	Cell Painting	non_spherized	all_data
alvocidib	5	0.04 uM	0.6838307833185305	Cell Painting	non_spherized	all_data
am-24	5	0.04 uM	0.2674052827014473	Cell Painting	non_spherized	all_data
amantadine	5	0.04 uM	0.1547008986451063	Cell Painting	non_spherized	all_data
ambrisentan	2	0.04 uM	0.1510265448756966	Cell Painting	non_spherized	all_data
ambroxol	5	0.04 uM	0.6029699184122344	Cell Painting	non_spherized	all_data
amd11070	2	0.04 uM	-0.0351911650240501	Cell Painting	non_spherized	all_data
amg-208	5	0.04 uM	0.4701271262627383	Cell Painting	non_spherized	all_data
amg-232	5	0.04 uM	0.3631788528050956	Cell Painting	non_spherized	all_data
amg-517	5	0.04 uM	0.6750641942595963	Cell Painting	non_spherized	all_data
amikacin	5	0.04 uM	0.2275643570925282	Cell Painting	non_spherized	all_data
amiloride	5	0.04 uM	0.3573194530858913	Cell Painting	non_spherized	all_data
aminocaproic-acid	5	0.04 uM	0.3587780744162365	Cell Painting	non_spherized	all_data
aminoglutethimide	5	0.04 uM	0.4128138547735581	Cell Painting	non_spherized	all_data
aminoguanidine	5	0.04 uM	0.5612772979897618	Cell Painting	non_spherized	all_data
aminolevulinic-acid	5	0.04 uM	0.3164345465065036	Cell Painting	non_spherized	all_data
aminosalicylic-acid	5	0.04 uM	0.3179465276501849	Cell Painting	non_spherized	all_data
amiodarone	5	0.04 uM	0.3612240905328716	Cell Painting	non_spherized	all_data
amiprilose	5	0.04 uM	0.2717784331445346	Cell Painting	non_spherized	all_data
amitifadine	5	0.04 uM	0.4325722616816313	Cell Painting	non_spherized	all_data
amlexanox	5	0.04 uM	0.0280642961409381	Cell Painting	non_spherized	all_data
amlodipine	5	0.04 uM	0.2892148465111603	Cell Painting	non_spherized	all_data
ammonium-glycyrrhizinate	5	0.04 uM	0.7418557188749785	Cell Painting	non_spherized	all_data
amonafide	5	0.04 uM	-0.0985356434357011	Cell Painting	non_spherized	all_data
amoxapine	4	0.04 uM	0.3444776381442307	Cell Painting	non_spherized	all_data
ampalex	5	0.04 uM	-0.0380313423836096	Cell Painting	non_spherized	all_data
amrinone	5	0.04 uM	0.3000786253748535	Cell Painting	non_spherized	all_data
amsacrine	5	0.04 uM	0.9211637702168138	Cell Painting	non_spherized	all_data
amtolmetin-guacil	5	0.04 uM	0.1559380363287799	Cell Painting	non_spherized	all_data
amuvatinib	5	0.04 uM	0.3975332099414718	Cell Painting	non_spherized	all_data
anamorelin	4	0.04 uM	0.2081102094164709	Cell Painting	non_spherized	all_data
anandamide	2	0.04 uM	-0.0433825168729153	Cell Painting	non_spherized	all_data
andrographolide	5	0.04 uM	0.5530494067156526	Cell Painting	non_spherized	all_data
anecortave-acetate	5	0.04 uM	0.2566470374425104	Cell Painting	non_spherized	all_data
anidulafungin	5	0.04 uM	0.1583773235597019	Cell Painting	non_spherized	all_data
aniracetam	5	0.04 uM	0.2010038599506483	Cell Painting	non_spherized	all_data
anisodamine	5	0.04 uM	0.4309772537014884	Cell Painting	non_spherized	all_data
ap26113	5	0.04 uM	0.682772389967333	Cell Painting	non_spherized	all_data
apafant	5	0.04 uM	0.2133242352253471	Cell Painting	non_spherized	all_data
apd668	5	0.04 uM	0.6406578716978906	Cell Painting	non_spherized	all_data
aphidicolin	5	0.04 uM	0.6630857604389039	Cell Painting	non_spherized	all_data
api-001	5	0.04 uM	0.3067577311859062	Cell Painting	non_spherized	all_data
apixaban	5	0.04 uM	0.3500377400264051	Cell Painting	non_spherized	all_data
apocynin	5	0.04 uM	0.570485750351404	Cell Painting	non_spherized	all_data
apremilast	5	0.04 uM	0.0583225450975555	Cell Painting	non_spherized	all_data
aprepitant	5	0.04 uM	0.000542440404476	Cell Painting	non_spherized	all_data
arbutin	5	0.04 uM	0.2386479185861962	Cell Painting	non_spherized	all_data
argatroban	5	0.04 uM	0.3631076996736469	Cell Painting	non_spherized	all_data
