var,PC
23.463378413202555,PC1
4.311207860775362,PC2
3.996297122881365,PC3
2.8743404276081495,PC4
2.8049507019468902,PC5
2.388213567676924,PC6
1.9895940455728611,PC7
1.4771886001019898,PC8
1.3570471228369205,PC9
1.1346245284091414,PC10
1.0619079994969094,PC11
0.953443019228596,PC12
0.9141235015384753,PC13
0.8038900355673124,PC14
0.7402832750873344,PC15
0.7310868037832874,PC16
0.7172511849945201,PC17
0.6677164505530673,PC18
0.641336364315066,PC19
0.6124023114740968,PC20
0.549430972641517,PC21
0.5299259098684054,PC22
0.5074267395618239,PC23
0.4852358960722381,PC24
0.4728773587212644,PC25
0.449905623827037,PC26
0.44693880909674744,PC27
0.42944744149687275,PC28
0.4068824553077624,PC29
0.40442149767611874,PC30
0.39165160985136593,PC31
0.3821821623776671,PC32
0.370542227771851,PC33
0.36077563609831353,PC34
0.3552146140062711,PC35
0.3498997417469034,PC36
0.3393263713531735,PC37
0.331420983942015,PC38
0.3259409423245071,PC39
0.31925523739042533,PC40
0.308590661118277,PC41
0.297630324957361,PC42
0.28917964941415863,PC43
0.28884595660871126,PC44
0.2838868354097534,PC45
0.2751334774063806,PC46
0.26991154210175144,PC47
0.2641900400899474,PC48
0.26145358372015104,PC49
0.25274959693957966,PC50
0.25057135554727905,PC51
0.24805190120684387,PC52
0.24113695039916244,PC53
0.2368493865550797,PC54
0.23261623153436473,PC55
0.22659268510858982,PC56
0.22537100847961422,PC57
0.22249570320085504,PC58
0.22189894298456145,PC59
0.21604790305270752,PC60
0.2115343468105576,PC61
0.20675739135296609,PC62
0.20618014281535996,PC63
0.20165910665063788,PC64
0.20017559209969932,PC65
0.19809499808747738,PC66
0.1960304798648624,PC67
0.1942822200866976,PC68
0.19134058092664954,PC69
0.19069873892586828,PC70
0.18615732057041923,PC71
0.18476366333092184,PC72
0.1808088309668178,PC73
0.17792787842380356,PC74
0.17632503537740177,PC75
0.1759037737618788,PC76
0.1726834651345701,PC77
0.16925219602854172,PC78
0.16861139936321112,PC79
0.16696299131378736,PC80
0.1662024975186332,PC81
0.16394302114243475,PC82
0.16127847619790622,PC83
0.16064487290186297,PC84
0.1595619970451946,PC85
0.15865314919576487,PC86
0.15666513720264474,PC87
0.15534725508329802,PC88
0.1531472011979182,PC89
0.15156423856021672,PC90
0.15061373907332498,PC91
0.1497025873531296,PC92
0.14866326013400985,PC93
0.14624813300147793,PC94
0.14500820729232528,PC95
0.14381565898748438,PC96
0.14356626193550517,PC97
0.14200528327966033,PC98
