cluster,davies_bouldin_score,dose
2,1.3797106420740313,1
3,2.200403478269227,1
4,1.8740434526803935,1
5,1.90425632903879,1
6,1.7112191879514638,1
7,2.0755507458778903,1
8,1.845304566304263,1
9,1.765908864806175,1
10,1.7653288926936799,1
11,1.6334813881846488,1
12,1.6353943373567679,1
13,1.9506320499555831,1
14,1.75972246649774,1
15,1.8307530213612706,1
16,1.8606227520486607,1
17,2.5770173583990807,1
18,1.684639496058542,1
19,1.951189780115087,1
20,1.6088609249600379,1
21,1.6624564922514717,1
22,1.712376475986691,1
23,1.7061414867620375,1
24,2.257951745783091,1
25,2.092674591099318,1
26,1.6304034568607166,1
27,2.084742004041683,1
28,1.9175300564864162,1
29,1.694315245823177,1
30,1.4257711646477027,1
31,1.9535218795311695,1
32,1.8355903474832722,1
33,1.5107819332602763,1
34,1.6976397842571818,1
35,1.7487335472087089,1
36,1.4840637003715231,1
37,1.7679412069547953,1
38,1.8615049330008735,1
39,1.8423950868152583,1
40,1.8662865478720447,1
2,0.022421978094997897,2
3,1.5378853701877204,2
4,1.6792610427769987,2
5,1.6624126233202063,2
6,1.6623800216123648,2
7,1.5960485281039134,2
8,1.5497092453837427,2
9,1.5872139543294987,2
10,1.6280049491119848,2
11,1.9529764973087418,2
12,1.5220282869487578,2
13,2.0730383366687475,2
14,1.9366342803059087,2
15,1.9086584903629003,2
16,1.9115860768288062,2
17,1.8366655422151905,2
18,1.8559535753245007,2
19,1.8002659152467582,2
20,1.685317971742316,2
21,1.73836754820417,2
22,1.658266944022499,2
23,1.7126543162650756,2
24,1.737969338624885,2
25,1.7437248218352448,2
26,2.106795147525539,2
27,1.8145449408249679,2
28,1.7519746696126304,2
29,1.5881712996226378,2
30,2.0494299163296756,2
31,1.6586588145673073,2
32,1.482993680636054,2
33,1.924143383108984,2
34,1.692105029078441,2
35,1.9111093630634006,2
36,1.391592954137098,2
37,1.9725410438861481,2
38,1.5174482880816202,2
39,1.9464336216747544,2
40,1.5770943811603806,2
2,2.016343472239803,3
3,2.2451168494786784,3
4,2.0849255727287095,3
5,2.085864116427813,3
6,2.1055316239029587,3
7,1.9660972765955065,3
8,2.33995953786161,3
9,1.6876816711794467,3
10,2.0477477097860146,3
11,1.8164982423689127,3
12,2.1136910187686033,3
13,1.869411871335288,3
14,2.232582380848384,3
15,2.173995107349266,3
16,2.309738508710259,3
17,1.9417750669416938,3
18,2.128195011471666,3
19,1.979792632658271,3
20,1.9855300893677843,3
21,2.032830472797534,3
22,1.9841367053759376,3
23,1.7702598228613569,3
24,1.902608907063075,3
25,1.8715941452290787,3
26,1.9252805401915094,3
27,1.7456662853337426,3
28,2.3262374738345026,3
29,1.8405887742532177,3
30,1.8286864060643815,3
31,1.7063741633475713,3
32,1.795364878589098,3
33,1.7548422066556035,3
34,1.6676439667012466,3
35,1.7020803611587934,3
36,1.8089917483774067,3
37,1.8082917013594446,3
38,1.6980626946561885,3
39,2.0327375256542477,3
40,2.0763626488090194,3
2,2.3930570508350577,4
3,1.8220545427979473,4
4,1.8674964377136374,4
5,1.882728508784408,4
6,1.999244647182666,4
7,2.0509200421910365,4
8,1.980472275952489,4
9,1.6391836120384302,4
10,1.6132526637245228,4
11,1.5614300733723772,4
12,1.8638531263994793,4
13,1.8984062086389568,4
14,1.8546132121347605,4
15,1.8672419588395721,4
16,2.006706948311467,4
17,1.9375689746089808,4
18,1.9132236395787205,4
19,1.9928197517065682,4
20,1.9172791175749933,4
21,1.842472745287392,4
22,1.9833150792291938,4
23,1.8657047804138494,4
24,1.945070300378913,4
25,2.0163486069418273,4
26,1.7865497429975223,4
27,1.9170263167499657,4
28,1.8085913783893588,4
29,1.9635878647794809,4
30,1.7646229636269326,4
31,1.8703388279575837,4
