cluster,davies_bouldin_score,dose
2,1.309382420691176,common_compounds
3,2.0679892699543045,common_compounds
4,2.6140701699797284,common_compounds
5,2.635150233089,common_compounds
6,2.4548687756251737,common_compounds
7,2.5263827810254478,common_compounds
8,2.4700516334220124,common_compounds
9,2.4850626592703855,common_compounds
10,2.3067804127488323,common_compounds
11,2.5221210947944765,common_compounds
12,2.5865489174321645,common_compounds
13,2.5379329008234075,common_compounds
14,2.5206668011458793,common_compounds
15,2.3575190831826527,common_compounds
16,2.459371704556756,common_compounds
17,2.555388489291287,common_compounds
18,2.4548648389750483,common_compounds
19,2.606352014554072,common_compounds
20,2.5287643585669577,common_compounds
21,2.686711651051349,common_compounds
22,2.3733334322066164,common_compounds
23,2.489661861098149,common_compounds
24,2.4899844613544233,common_compounds
25,2.528120456889579,common_compounds
26,2.5566749802561755,common_compounds
27,2.6718799691985273,common_compounds
28,2.583981974196849,common_compounds
29,2.6179829717990306,common_compounds
30,2.4769956311662997,common_compounds
31,2.541654026282287,common_compounds
32,2.4809778885494387,common_compounds
33,2.621481322932991,common_compounds
34,2.5775861237020035,common_compounds
35,2.4578625536339995,common_compounds
36,2.4103936616370905,common_compounds
37,2.529607242298103,common_compounds
38,2.4533628045724667,common_compounds
39,2.4214398826948367,common_compounds
40,2.4942431687824214,common_compounds
