cluster,Average_silhouette_score,dose
2,0.8063585490592481,1
3,0.7338014785908378,1
4,0.734366798738212,1
5,0.7403046282943118,1
6,0.7358186686211002,1
7,0.5597550543487605,1
8,0.5341375649132634,1
9,0.5504578462619938,1
10,0.5574662266495592,1
11,0.5293316002761638,1
12,0.5356321977054089,1
13,0.7030779863947086,1
14,0.5366172294025712,1
15,0.5320695520596322,1
16,0.5144729842047913,1
17,0.5020998246293223,1
18,0.5302572610924394,1
19,0.08960317526103023,1
20,0.4577664325189522,1
21,0.05224309758692284,1
22,0.5271239407533859,1
23,0.06041830900015059,1
24,0.05737492049712756,1
25,0.06457120937810257,1
26,0.06217325864883276,1
27,0.5208070453461903,1
28,0.426373338200147,1
29,0.4237837455188288,1
30,0.04257971616768984,1
31,0.48112202630558437,1
32,0.04901479115602042,1
33,0.05521507639643452,1
34,0.04740350469984356,1
35,0.05050539484973949,1
36,0.07352718027711692,1
37,0.035989791496459395,1
38,0.045248879928140265,1
39,-0.01906583641187397,1
40,0.046129922248615736,1
2,0.9648937890544564,2
3,0.8076831948492104,2
4,0.7924722555567145,2
5,0.6382690859634182,2
6,0.6439798667274235,2
7,0.6412895179277573,2
8,0.6445876542717135,2
9,0.653426877197279,2
10,0.6440199183743597,2
11,0.648649109018689,2
12,0.48467804116927304,2
13,0.5630909488418583,2
14,0.4987230426960805,2
15,0.553727208197731,2
16,0.4728621677185661,2
17,0.5156406979072355,2
18,0.5036580021229591,2
19,0.4995121772575596,2
20,0.5035173963223429,2
21,0.5004698948738241,2
22,0.5092810622106761,2
23,0.5091975542539506,2
24,0.49603011833463767,2
25,0.017379331055300287,2
26,0.457812929669537,2
27,0.5010135264547915,2
28,0.4495629443066087,2
29,0.49849133544632646,2
30,0.5104802962536793,2
31,0.4985138268988602,2
32,0.3365753754875077,2
33,0.0199113358134013,2
34,0.5008379991336078,2
35,0.5036666392934998,2
36,0.02674550193534896,2
37,0.3811201272213165,2
38,0.02972305129517815,2
39,0.005701553702083879,2
40,0.027307574244779528,2
2,0.7725843504097312,3
3,0.709652071570078,3
4,0.7134335192424954,3
5,0.7141058618639212,3
6,0.6476314665708356,3
7,0.6418813493153436,3
8,0.6366857619907783,3
9,0.6539577158025727,3
10,0.6498058748101827,3
11,0.6232182208758312,3
12,0.6180500616988872,3
13,0.5654394768678809,3
14,0.5487176250456223,3
15,0.5566084414835409,3
16,0.5639513579232323,3
17,0.5661108906825144,3
18,0.6049491523265711,3
19,0.49972849136696984,3
20,0.5370759567300243,3
21,0.5523492334201965,3
22,0.5310580117973203,3
23,0.5335611880229121,3
24,0.5202164540062729,3
25,0.49672797603464885,3
26,0.48677539390108976,3
27,0.5384737130132222,3
28,0.5252842827271698,3
29,0.5391701540298875,3
30,0.5626786157651622,3
31,0.5217522748169994,3
32,0.5272206713578611,3
33,0.5446037739429498,3
34,0.40065321614136085,3
35,0.5348996545166635,3
36,0.5231505898657584,3
37,0.5322423687842893,3
38,0.44890238336146576,3
39,0.5364720971039045,3
40,0.4868965466976853,3
2,0.7740908168374235,4
3,0.7663833198720409,4
4,0.7495822208737813,4
5,0.5960288694573573,4
6,0.6003308169664537,4
7,0.5984770176730407,4
8,0.6005324676436175,4
9,0.6006716817062769,4
10,0.6087852791260233,4
11,0.613212733409966,4
12,0.6130361576485212,4
13,0.5533274669303699,4
14,0.5537661716549079,4
15,0.5537637196332246,4
16,0.5544409145209263,4
17,0.5552358358132624,4
18,0.5409872675303355,4
19,0.5387012915225599,4
20,0.5553718373347984,4
21,0.45856555581676633,4
22,0.5567971668686572,4
23,0.5528167443914517,4
24,0.46690287291922733,4
25,0.5571457500279212,4
26,0.4725491462862459,4
27,0.46854546750328707,4
28,0.4626119453518059,4
29,0.4725661603591044,4
30,0.4658059442973936,4
31,0.4732736765488821,4
32,0.5647685378415626,4
33,0.47614399155810866,4
34,0.5174187724797523,4
35,0.47703372613757294,4
36,0.4709591032616048,4
37,0.462216467142926,4
38,0.4642826697107108,4
39,0.4683194386881556,4
40,0.48861707301186436,4
2,0.8161183850052882,5
3,0.7415912782458269,5
4,0.7272970316670275,5
5,0.7300145691486941,5
6,0.7315535433238292,5
7,0.7312082804819329,5
8,0.7242372558339121,5
9,0.7073563237340462,5
10,0.7172582519415618,5
11,0.7110688775638634,5
12,0.6765916493094994,5
13,0.681563306277612,5
14,0.6292112296890595,5
15,0.7103742898713383,5
16,0.6395406721748391,5
17,0.6395066975291277,5
18,0.4896238463788387,5
19,0.6399796074502163,5
20,0.635306566040334,5
21,0.46047705274380335,5
22,0.6288308509988955,5
23,0.46040142412881513,5
24,0.484101896971405,5
25,0.6371236797336516,5
26,0.4869642092425369,5
27,0.6445335152753232,5
28,0.6442894077690932,5
29,0.5028683698218223,5
30,0.4546998235760991,5
31,0.6341330842027424,5
32,0.633571975217348,5
33,0.4597041384463993,5
34,0.48788153841312726,5
35,0.4608539564311166,5
36,0.45653218998200507,5
37,0.4150245248005532,5
38,0.46341175709586263,5
39,0.4579735006584772,5
40,0.4596926124485207,5
2,0.7976614107076435,6
3,0.6755162473072189,6
4,0.640188457755517,6
5,0.6363140830389656,6
6,0.6364747803895572,6
7,0.6482580285167739,6
8,0.6154827481584983,6
9,0.5824467546460186,6
10,0.5694112628563515,6
11,0.6421172365285315,6
12,0.5800553747867097,6
13,0.48131812043686806,6
14,0.602827206240981,6
15,0.5817470263227079,6
16,0.559347028500294,6
17,0.5123611761532098,6
18,0.5140812010664401,6
19,0.5496488846049551,6
20,0.4414831888752155,6
21,0.42634365497407944,6
22,0.42926908242077005,6
23,0.4280332514298718,6
24,0.3845741276930766,6
25,0.41293494912865925,6
26,0.36072608020078795,6
27,0.5085359032168761,6
28,0.400164253743363,6
29,0.407158313735315,6
30,0.38846513849076647,6
31,0.3883607987390853,6
32,0.32924779961586,6
33,0.27804196890961197,6
34,0.335781945203116,6
35,0.406023800885521,6
36,0.3967222281973411,6
